DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID_Human	Target_Entrez_ID_Human	TF_Entrez_ID	Target_Entrez_ID	PubMed_ID	Database	Mode	tf_species	target_species
etri_00022	HDAC5	SLC2A1	10014	6513	10014	6513	22991226	TRRUST	activation	human	human
etri_00023	HDAC5	SLC2A4	10014	6517	10014	6517	22991226	TRRUST	repression	human	human
etri_00023	HDAC5	SLC2A4	10014	6517	10014	6517	23899560	TRRUST	unknown	human	human
etri_00024	HDAC5	WT1	10014	7490	10014	7490	18064385	TRRUST	repression	human	human
etri_00025	HDAC5	YY1	10014	7528	10014	7528	18632988	TRRUST	activation	human	human
etri_00026	HDAC5	SLIT2	10014	9353	10014	9353	19351956	TRRUST	repression	human	human
etri_00027	MEF2B	BCL6	100271849	604	100271849	604	23974956	InnateDB	unknown	human	human
etri_00027	MEF2B	BCL6	100271849	604	100271849	604	23974956	TRRUST	unknown	human	human
etri_00027	MEF2B	BCL6	100271849	604	100271849	604	26229090	ENdb	unknown	human	human
etri_00028	DUX4	HEY1	100288687	23462	100288687	23462	24278031	TRRUST	activation	human	human
etri_00029	NR1H3	CETP	10062	1071	10062	1071	18562803	TRRUST	unknown	human	human
etri_00030	NR1H3	AKR1C4	10062	1109	10062	1109	18024509	HTRIdb_LC	unknown	human	human
etri_00031	NR1H3	ABCA1	10062	19	10062	11303	21757649	InnateDB	unknown	human	mouse
etri_00032	NR1H3	IRF8	10062	3394	10062	15900	21757649	InnateDB	unknown	human	mouse
etri_00031	NR1H3	ABCA1	10062	19	10062	19	11264984	TRRUST	activation	human	human
etri_00031	NR1H3	ABCA1	10062	19	10062	19	15171719	TRRUST	unknown	human	human
etri_00031	NR1H3	ABCA1	10062	19	10062	19	16141411	TRRUST	activation	human	human
etri_00031	NR1H3	ABCA1	10062	19	10062	19	18580406	TRRUST	activation	human	human
etri_00031	NR1H3	ABCA1	10062	19	10062	19	19201410	TRRUST	activation	human	human
etri_00031	NR1H3	ABCA1	10062	19	10062	19	19258656	TFactS	activation	human	human
etri_00033	NR1H3	FABP2	10062	2169	10062	2169	17396233	HTRIdb_LC	unknown	human	human
etri_00034	NR1H3	FBP1	10062	2203	10062	2203	19258656	TFactS	repression	human	human
etri_00035	NR1H3	G6PC	10062	2538	10062	2538	19258656	TFactS	repression	human	human
etri_00036	NR1H3	APOE	10062	348	10062	348	19258656	TFactS	activation	human	human
etri_00037	NR1H3	PCK2	10062	5106	10062	5106	19258656	TFactS	repression	human	human
etri_00038	NR1H3	PLTP	10062	5360	10062	5360	19258656	TFactS	activation	human	human
etri_00039	NR1H3	CCL24	10062	6369	10062	56221	18250151	InnateDB	unknown	human	mouse
etri_00039	NR1H3	CCL24	10062	6369	10062	6369	18250151	CytReg	repression	human	human
etri_00040	NR1H3	ABCG4	10062	64137	10062	64137	16141411	TRRUST	activation	human	human
etri_00041	NR1H3	ABCG5	10062	64240	10062	64240	19258656	TFactS	activation	human	human
etri_00042	NR1H3	ABCG8	10062	64241	10062	64241	19258656	TFactS	activation	human	human
etri_00043	NR1H3	SREBF1	10062	6720	10062	6720	19258656	TFactS	activation	human	human
etri_00044	NR1H3	BHLHE40	10062	8553	10062	8553	19032342	TFactS	activation	human	human
etri_00044	NR1H3	BHLHE40	10062	8553	10062	8553	19032342	TRRUST	activation	human	human
etri_00045	NR1H3	CD36	10062	948	10062	948	19258656	TFactS	activation	human	human
etri_00046	NR1H3	ABCG1	10062	9619	10062	9619	11500512	HTRIdb_LC	unknown	human	human
etri_00046	NR1H3	ABCG1	10062	9619	10062	9619	16141411	TRRUST	activation	human	human
etri_00046	NR1H3	ABCG1	10062	9619	10062	9619	18580406	TRRUST	activation	human	human
etri_00046	NR1H3	ABCG1	10062	9619	10062	9619	19258656	TFactS	activation	human	human
etri_00047	TRRAP	MITF	8295	4286	100683	17342	15581068	TRRUST	repression	mouse	mouse
etri_00048	LOC100862024	Wfdc17	100862024	100034251	100862024	100034251	20709948	InnateDB	unknown	mouse	mouse
etri_00049	LOC100862024	Cts3	100862024	117066	100862024	117066	15947094	InnateDB	unknown	mouse	mouse
etri_00050	LOC100862024	ARG1	100862024	383	100862024	11846	21757649	InnateDB	unknown	mouse	mouse
etri_00051	LOC100862024	CIITA	100862024	4261	100862024	12265	21321116	InnateDB	unknown	mouse	mouse
etri_00051	LOC100862024	CIITA	100862024	4261	100862024	12265	26417437	InnateDB	unknown	mouse	mouse
etri_00052	LOC100862024	CD80	100862024	941	100862024	12519	21119111	InnateDB	unknown	mouse	mouse
etri_00053	LOC100862024	CD86	100862024	942	100862024	12524	21119111	InnateDB	unknown	mouse	mouse
etri_00054	LOC100862024	CDKN2B	100862024	1030	100862024	12579	14976051	InnateDB	unknown	mouse	mouse
etri_00054	LOC100862024	CDKN2B	100862024	1030	100862024	12579	21474105	InnateDB	unknown	mouse	mouse
etri_00055	LOC100862024	CSF1R	100862024	1436	100862024	12978	19528235	InnateDB	unknown	mouse	mouse
etri_00056	LOC100862024	CST3	100862024	1471	100862024	13010	15947094	InnateDB	unknown	mouse	mouse
etri_00057	LOC100862024	DAB2	100862024	1601	100862024	13132	11823414	InnateDB	unknown	mouse	mouse
etri_00058	LOC100862024	ADGRE1	100862024	2015	100862024	13733	15533720	InnateDB	unknown	mouse	mouse
etri_00059	LOC100862024	FCER1A	100862024	2205	100862024	14125	18629488	InnateDB	unknown	mouse	mouse
etri_00060	LOC100862024	FCGR2B	100862024	2213	100862024	14130	21474105	InnateDB	unknown	mouse	mouse
etri_00061	LOC100862024	FGF10	100862024	2255	100862024	14165	20861353	InnateDB	unknown	mouse	mouse
etri_00062	LOC100862024	FGL2	100862024	10875	100862024	14190	16709865	InnateDB	unknown	mouse	mouse
etri_00063	LOC100862024	IRF8	100862024	3394	100862024	15900	20405120	InnateDB	unknown	mouse	mouse
etri_00064	LOC100862024	IL1B	100862024	3553	100862024	16176	17283046	InnateDB	unknown	mouse	mouse
etri_00065	LOC100862024	IL7R	100862024	3575	100862024	16197	12832394	InnateDB	unknown	mouse	mouse
etri_00066	LOC100862024	ITGAX	100862024	3687	100862024	16411	23284905	InnateDB	unknown	mouse	mouse
etri_00067	LOC100862024	Cxcl9	100862024	17329	100862024	17329	20585034	InnateDB	unknown	mouse	mouse
etri_00068	LOC100862024	PAX5	100862024	5079	100862024	18507	19345119	InnateDB	unknown	mouse	mouse
etri_00069	LOC100862024	PTGDS	100862024	5730	100862024	19215	19181746	InnateDB	unknown	mouse	mouse
etri_00070	LOC100862024	PTGS2	100862024	5743	100862024	19225	14966110	InnateDB	unknown	mouse	mouse
etri_00071	LOC100862024	KCNH6	100862024	81033	100862024	192775	21474105	InnateDB	unknown	mouse	mouse
etri_00072	LOC100862024	CCL5	100862024	6352	100862024	20304	16707500	InnateDB	unknown	mouse	mouse
etri_00073	LOC100862024	TLR4	100862024	7099	100862024	21898	16093364	InnateDB	unknown	mouse	mouse
etri_00074	LOC100862024	TNF	100862024	7124	100862024	21926	18802049	InnateDB	unknown	mouse	mouse
etri_00075	LOC100862024	TREM1	100862024	54210	100862024	58217	17634956	InnateDB	unknown	mouse	mouse
etri_00076	LOC100862024	LRG1	100862024	116844	100862024	76905	18272588	InnateDB	unknown	mouse	mouse
etri_00077	LOC100862024	TLR9	100862024	54106	100862024	81897	17360957	InnateDB	unknown	mouse	mouse
etri_00078	LOC100862024	CCNB1	100862024	891	100862024	891	11359842	InnateDB	unknown	mouse	human
etri_00079	LOC100862024	CD40	100862024	958	100862024	958	10823830	InnateDB	unknown	mouse	human
etri_00080	ZNF513	ARR3	130557	407	101023	170735	20797688	TRRUST	unknown	mouse	mouse
etri_00081	ZNF513	PAX6	130557	5080	101023	18508	20797688	TRRUST	unknown	mouse	mouse
etri_00082	ZNF513	RBP3	130557	5949	101023	19661	20797688	TRRUST	unknown	mouse	mouse
etri_00083	ZNF513	SP4	130557	6671	101023	20688	20797688	TRRUST	unknown	mouse	mouse
etri_00084	PREB	PRL	10113	5617	10113	5617	20411477	TRRUST	unknown	human	human
etri_00085	PREB	CCL2	10113	6347	10113	6347	19426980	CytReg	activation	human	human
etri_00085	PREB	CCL2	10113	6347	10113	6347	19426980	TRRUST	unknown	human	human
etri_00086	TOB1	IL2	10140	3558	10140	3558	11694881	TRRUST	repression	human	human
etri_00087	G3BP1	IL13	10146	3596	10146	3596	20051514	InnateDB	unknown	human	human
etri_00088	CEBPZ	COL1A2	10153	1278	10153	1278	8910550	TRRUST	unknown	human	human
etri_00089	CEBPZ	COL11A1	10153	1301	10153	1301	12805369	HTRIdb_LC	unknown	human	human
etri_00089	CEBPZ	COL11A1	10153	1301	10153	1301	12805369	TRRUST	repression	human	human
etri_00090	CEBPZ	CRP	10153	1401	10153	1401	17513780	InnateDB	unknown	human	human
etri_00091	CEBPZ	GZMB	10153	3002	10153	3002	9857074	TRRUST	unknown	human	human
etri_00092	CEBPZ	APC	10153	324	10153	324	15087381	TRRUST	activation	human	human
etri_00093	CEBPZ	MLH1	10153	4292	10153	4292	11704838	HTRIdb_LC	unknown	human	human
etri_00093	CEBPZ	MLH1	10153	4292	10153	4292	11704838	TRRUST	repression	human	human
etri_00094	CEBPZ	SOX9	10153	6662	10153	6662	15908194	HTRIdb_LC	unknown	human	human
etri_00094	CEBPZ	SOX9	10153	6662	10153	6662	15908194	TRRUST	unknown	human	human
etri_00095	CEBPZ	THBS1	10153	7057	10153	7057	18275041	HTRIdb_LC	unknown	human	human
etri_00096	TRIM28	ZNF274	10155	10782	10155	10782	21170338	TRRUST	unknown	human	human
etri_00097	TRIM28	E2F3	10155	1871	10155	1871	23060449	TRRUST	repression	human	human
etri_00098	TRIM28	E2F4	10155	1874	10155	1874	23060449	TRRUST	repression	human	human
etri_00099	TRIM28	HBE1	10155	3046	10155	3046	26501517	ENdb	unknown	human	human
etri_00100	TRIM28	HBG1	10155	3047	10155	3047	26501517	ENdb	unknown	human	human
etri_00101	TRIM28	HBG2	10155	3048	10155	3048	26501517	ENdb	unknown	human	human
etri_00102	TRIM28	ID1	10155	3397	10155	3397	21876767	TRRUST	unknown	human	human
etri_00103	TRIM28	VIM	10155	7431	10155	7431	12771217	TFe	unknown	human	human
etri_00104	LOC101928269	CDKN1A	101928269	1026	101928269	1026	20506188	InnateDB	unknown	human	human
etri_00104	LOC101928269	CDKN1A	101928269	1026	101928269	1026	23148227	InnateDB	unknown	human	human
etri_00105	LOC101928269	CSF1R	101928269	1436	101928269	1436	20506188	InnateDB	unknown	human	human
etri_00106	LOC101928269	CSF2	101928269	1437	101928269	1437	20506188	InnateDB	unknown	human	human
etri_00107	LOC101928269	IFNG	101928269	3458	101928269	15978	17195845	InnateDB	unknown	human	mouse
etri_00108	LOC101928269	IL4	101928269	3565	101928269	16189	17195845	InnateDB	unknown	human	mouse
etri_00109	LOC101928269	IL2	101928269	3558	101928269	3558	22253733	InnateDB	unknown	human	human
etri_00110	LOC101928269	IL3	101928269	3562	101928269	3562	20506188	InnateDB	unknown	human	human
etri_00111	LOC101928269	KIR2DL4	101928269	3805	101928269	3805	18945643	InnateDB	unknown	human	human
etri_00112	LOC101928269	LGALS3	101928269	3958	101928269	3958	19020999	InnateDB	unknown	human	human
etri_00113	LOC101928269	MPO	101928269	4353	101928269	4353	20506188	InnateDB	unknown	human	human
etri_00114	LOC101928269	BAX	101928269	581	101928269	581	23148227	InnateDB	unknown	human	human
etri_00115	LOC101928269	CCL3	101928269	6348	101928269	6348	12771199	InnateDB	unknown	human	human
etri_00116	LOC101928269	TNFSF10	101928269	8743	101928269	8743	23492767	InnateDB	unknown	human	human
etri_00117	LOC101928269	CD69	101928269	969	101928269	969	25801305	InnateDB	unknown	human	human
etri_00118	EIF1	IL2RA	10209	3559	10209	3559	8896456	InnateDB	unknown	human	human
etri_00119	OLIG2	LGR5	10215	8549	10215	8549	23793848	TRRUST	unknown	human	human
etri_00120	CDK7	MITF	1022	4286	1022	4286	29408204	ENdb	unknown	human	human
etri_00121	HNRNPR	ASCL1	10236	429	10236	429	25124043	TRRUST	unknown	human	human
etri_00122	CDK9	CDKN1A	1025	1026	1025	1026	23596302	InnateDB	unknown	human	human
etri_00123	CDK9	IFIT2	1025	3433	1025	3433	23596302	InnateDB	unknown	human	human
etri_00124	CDK9	IFIT1	1025	3434	1025	3434	23596302	InnateDB	unknown	human	human
etri_00125	CDK9	IRF7	1025	3665	1025	3665	25520509	InnateDB	unknown	human	human
etri_00126	CDK9	SERPINB2	1025	5055	1025	5055	28578223	ENdb	unknown	human	human
etri_00127	CDK9	PARP12	1025	64761	1025	64761	24623795	InnateDB	unknown	human	human
etri_00128	CDK9	RSAD2	1025	91543	1025	91543	23596302	InnateDB	unknown	human	human
etri_00129	CDK9	EPSTI1	1025	94240	1025	94240	24623795	InnateDB	unknown	human	human
etri_00130	CDKN1A	DNMT1	1026	1786	1026	1786	19275888	TFactS	repression	human	human
etri_00131	CDKN1A	MYC	1026	4609	1026	4609	16923815	TFactS	repression	human	human
etri_00132	CDKN1A	CDC25A	1026	993	1026	993	16923815	TFactS	repression	human	human
etri_00133	DENND4A	ERBB2	10260	2064	10260	2064	23421821	TRRUST	repression	human	human
etri_00134	CDKN2A	FANCD2	1029	2177	1029	2177	18438432	TFactS	repression	human	human
etri_00135	ZNF267	MMP10	10308	4319	10308	4319	16054593	HTRIdb_LC	unknown	human	human
etri_00135	ZNF267	MMP10	10308	4319	10308	4319	16054593	TRRUST	repression	human	human
etri_00136	PWP1	STAT3	11137	6774	103136	20848	25335925	TRRUST	unknown	mouse	mouse
etri_00137	IKZF1	CDKN1A	10320	1026	10320	1026	24522918	InnateDB	unknown	human	human
etri_00138	IKZF1	EBF1	10320	1879	10320	1879	24522918	InnateDB	unknown	human	human
etri_00139	IKZF1	FGFR4	10320	2264	10320	2264	11981041	TRRUST	activation	human	human
etri_00140	IKZF1	IKZF3	10320	22806	10320	22806	17383641	HTRIdb_LC	unknown	human	human
etri_00141	IKZF1	GZMB	10320	3002	10320	3002	9857074	InnateDB	unknown	human	human
etri_00142	IKZF1	IFNG	10320	3458	10320	3458	19828627	CytReg	repression	human	human
etri_00143	IKZF1	IL2	10320	3558	10320	3558	19828627	CytReg	repression	human	human
etri_00144	IKZF1	IL4	10320	3565	10320	3565	19828627	CytReg	activation	human	human
etri_00145	IKZF1	IL10	10320	3586	10320	3586	19828627	CytReg	activation	human	human
etri_00146	IKZF1	IL13	10320	3596	10320	3596	19828627	CytReg	activation	human	human
etri_00147	IKZF1	MCL1	10320	4170	10320	4170	24522918	InnateDB	unknown	human	human
etri_00148	IKZF1	IL22	10320	50616	10320	50616	25194055	CytReg	repression	human	human
etri_00149	IKZF1	PTPA	10320	5524	10320	5524	24692537	ORegAnno_LC	unknown	human	human
etri_00150	IKZF1	IL21	10320	59067	10320	59067	25194055	CytReg	repression	human	human
etri_00151	IKZF1	TNF	10320	7124	10320	7124	19828627	CytReg	repression	human	human
etri_00152	IKZF1	CD3D	10320	915	10320	915	9857074	InnateDB	unknown	human	human
etri_00153	TRIM22	NFKB1	10346	4790	10346	4790	21651891	TRRUST	unknown	human	human
etri_00154	TRIM22	RELA	10346	5970	10346	5970	21651891	TRRUST	unknown	human	human
etri_00155	HMG20B	BRCA2	10362	675	10362	675	21399666	TRRUST	unknown	human	human
etri_00156	KLF2	CDKN1A	10365	1026	10365	1026	15361832	TRRUST	activation	human	human
etri_00157	KLF2	CCR5	10365	1234	10365	1234	22988032	TRRUST	activation	human	human
etri_00158	KLF2	CCR7	10365	1236	10365	1236	20146713	TRRUST	unknown	human	human
etri_00159	KLF2	FABP5	10365	2171	10365	2171	20424164	TRRUST	repression	human	human
etri_00160	KLF2	IL2	10365	3558	10365	3558	16116194	CytReg	activation	human	human
etri_00160	KLF2	IL2	10365	3558	10365	3558	16116194	TRRUST	unknown	human	human
etri_00161	KLF2	NOS3	10365	4846	10365	4846	22987017	TRRUST	activation	human	human
etri_00161	KLF2	NOS3	10365	4846	10365	4846	29348663	ENdb	unknown	human	human
etri_00162	KLF2	PPARG	10365	5468	10365	5468	20693579	TRRUST	repression	human	human
etri_00163	KLF2	SELL	10365	6402	10365	6402	20146713	TRRUST	unknown	human	human
etri_00164	KLF2	LINC00520	10365	645687	10365	645687	29348663	ENdb	unknown	human	human
etri_00165	KLF2	THBD	10365	7056	10365	7056	19661484	TRRUST	activation	human	human
etri_00166	KLF2	WEE1	10365	7465	10365	7465	15735666	TRRUST	repression	human	human
etri_00167	KLF2	CXCR4	10365	7852	10365	7852	19671192	TRRUST	repression	human	human
etri_00168	CITED2	MMP1	10370	4312	10370	4312	12960175	TRRUST	repression	human	human
etri_00169	CITED2	MMP13	10370	4322	10370	4322	12960175	TRRUST	repression	human	human
etri_00170	IRF9	CDKN1A	10379	1026	10379	1026	15362048	TRRUST	activation	human	human
etri_00171	IRF9	CDKN1B	10379	1027	10379	1027	15362048	TRRUST	activation	human	human
etri_00172	IRF9	IRF9	10379	10379	10379	10379	16195385	InnateDB	unknown	human	human
etri_00173	IRF9	IFITM3	10379	10410	10379	10410	16195385	InnateDB	unknown	human	human
etri_00174	IRF9	IL27	10379	246778	10379	246778	20083668	CytReg	activation	human	human
etri_00174	IRF9	IL27	10379	246778	10379	246778	20083668	TRRUST	repression	human	human
etri_00175	IRF9	IFI6	10379	2537	10379	2537	16195385	InnateDB	unknown	human	human
etri_00175	IRF9	IFI6	10379	2537	10379	2537	17016442	InnateDB	unknown	human	human
etri_00176	IRF9	GBP1	10379	2633	10379	2633	16195385	InnateDB	unknown	human	human
etri_00177	IRF9	IFI27	10379	3429	10379	3429	16195385	InnateDB	unknown	human	human
etri_00178	IRF9	IFIT2	10379	3433	10379	3433	16497831	InnateDB	unknown	human	human
etri_00179	IRF9	IFIT1	10379	3434	10379	3434	16195385	InnateDB	unknown	human	human
etri_00180	IRF9	IFIT3	10379	3437	10379	3437	19351818	TFactS	activation	human	human
etri_00180	IRF9	IFIT3	10379	3437	10379	3437	19351818	TRRUST	unknown	human	human
etri_00180	IRF9	IFIT3	10379	3437	10379	3437	20403236	TRRUST	unknown	human	human
etri_00181	IRF9	CXCL8	10379	3576	10379	3576	18370868	TFactS	repression	human	human
etri_00182	IRF9	IL12A	10379	3592	10379	3592	19164128	CytReg	unknown	human	human
etri_00182	IRF9	IL12A	10379	3592	10379	3592	19164128	InnateDB	unknown	human	human
etri_00183	IRF9	CXCL10	10379	3627	10379	3627	9794404	InnateDB	unknown	human	human
etri_00184	IRF9	IRF5	10379	3663	10379	3663	15805103	InnateDB	unknown	human	human
etri_00185	IRF9	IRF7	10379	3665	10379	3665	14578356	InnateDB	unknown	human	human
etri_00185	IRF9	IRF7	10379	3665	10379	3665	18028425	InnateDB	unknown	human	human
etri_00186	IRF9	NCAM1	10379	4684	10379	4684	17431130	TRRUST	activation	human	human
etri_00187	IRF9	OAS1	10379	4938	10379	4938	11162614	InnateDB	unknown	human	human
etri_00187	IRF9	OAS1	10379	4938	10379	4938	15978943	InnateDB	unknown	human	human
etri_00188	IRF9	EVL	10379	51466	10379	51466	19151778	InnateDB	unknown	human	human
etri_00189	IRF9	PML	10379	5371	10379	5371	8681971	TRRUST	activation	human	human
etri_00190	IRF9	EIF2AK2	10379	5610	10379	5610	21178011	InnateDB	unknown	human	human
etri_00191	IRF9	CCL19	10379	6363	10379	6363	17182562	CytReg	unknown	human	human
etri_00191	IRF9	CCL19	10379	6363	10379	6363	17182562	InnateDB	unknown	human	human
etri_00192	IRF9	SP100	10379	6672	10379	6672	8681971	TRRUST	activation	human	human
etri_00193	IRF9	IFITM1	10379	8519	10379	8519	16195385	InnateDB	unknown	human	human
etri_00194	IRF9	CCND2	10379	894	10379	894	15362048	TRRUST	repression	human	human
etri_00195	IRF9	RSAD2	10379	91543	10379	91543	16849320	InnateDB	unknown	human	human
etri_00196	IRF9	ISG15	10379	9636	10379	9636	15047834	InnateDB	unknown	human	human
etri_00196	IRF9	ISG15	10379	9636	10379	9636	9605150	InnateDB	unknown	human	human
etri_00197	HOXB2	HOXB1	3212	3211	103889	15407	9242495	TRRUST	activation	mouse	mouse
etri_00198	HOXB2	PHOX2B	3212	8929	103889	18935	15289435	TRRUST	unknown	mouse	mouse
etri_00199	QSOX1	GNRH1	5768	2796	104009	14714	21527504	ENdb	unknown	mouse	mouse
etri_00200	QSOX1	MSI1	5768	4440	104009	17690	21486496	ENdb	unknown	mouse	mouse
etri_00201	PIAS3	ESR1	10401	2099	10401	2099	22174013	TRRUST	unknown	human	human
etri_00202	PIAS3	MUC1	10401	4582	10401	4582	17717071	TRRUST	repression	human	human
etri_00203	PIAS3	ATF1	10401	466	10401	466	17565989	TRRUST	activation	human	human
etri_00204	PIAS3	STAT3	10401	6774	10401	6774	16098628	TRRUST	unknown	human	human
etri_00205	YAP1	BAX	10413	581	10413	581	19137013	InnateDB	unknown	human	human
etri_00206	ETV5	CAV1	2119	857	104156	12389	17390339	TRRUST	activation	mouse	mouse
etri_00207	ETV5	ELMO1	2119	9844	104156	140580	16377631	TRRUST	unknown	mouse	mouse
etri_00208	ETV5	IL17A	2119	3605	104156	16171	24486067	InnateDB	unknown	mouse	mouse
etri_00208	ETV5	IL17A	2119	3605	104156	16171	24486067	TRRUST	activation	mouse	mouse
etri_00209	ETV5	PTGS2	2119	5743	104156	19225	18492810	TRRUST	activation	mouse	mouse
etri_00210	ETV5	IL17F	2119	112744	104156	257630	24486067	InnateDB	unknown	mouse	mouse
etri_00210	ETV5	IL17F	2119	112744	104156	257630	24486067	TRRUST	activation	mouse	mouse
etri_00211	ETV5	PARG	2119	8505	104156	26430	22915039	TRRUST	unknown	mouse	mouse
etri_00212	PRMT5	SMAD7	10419	4092	10419	4092	19032343	InnateDB	unknown	human	human
etri_00213	PRMT5	SELE	10419	6401	10419	6401	22269951	InnateDB	unknown	human	human
etri_00214	EMG1	IL13	10436	3596	10436	3596	20051514	InnateDB	unknown	human	human
etri_00215	RCOR2	NOS2	283248	4843	104383	18126	25858541	InnateDB	unknown	mouse	mouse
etri_00216	E2F4	BRCA1	1874	672	104394	12189	21701264	TRRUST	repression	mouse	mouse
etri_00217	E2F4	CDKN1B	1874	1027	104394	12576	15713665	TFactS	activation	mouse	mouse
etri_00218	E2F4	FBN2	1874	2201	104394	14119	19142862	TFactS	repression	mouse	mouse
etri_00219	E2F4	FGF2	1874	2247	104394	14173	19564414	TRRUST	unknown	mouse	mouse
etri_00220	E2F4	STMN1	1874	3925	104394	16765	12446714	TRRUST	unknown	mouse	mouse
etri_00221	E2F4	MYBL2	1874	4605	104394	17865	8806697	TRRUST	activation	mouse	mouse
etri_00222	E2F4	MYCN	1874	4613	104394	18109	16931907	TRRUST	unknown	mouse	mouse
etri_00223	E2F4	RAD51	1874	5888	104394	19361	21701264	TRRUST	repression	mouse	mouse
tri_0209	E2F4	RB1	1874	5925	104394	19645	16738312	TRRUST	repression	mouse	mouse
etri_00225	E2F4	RRM2	1874	6241	104394	20135	14688249	TFactS	repression	mouse	mouse
etri_00226	E2F4	PLK4	1874	10733	104394	20873	24071582	TRRUST	unknown	mouse	mouse
etri_00227	E2F4	E2F2	1874	1870	104394	242705	9149906	TRRUST	activation	mouse	mouse
etri_00228	E2F4	CDCA7	1874	83879	104394	66953	16580749	TFactS	activation	mouse	mouse
etri_00229	E2F4	MAP1LC3B	1874	81631	104394	67443	18830406	TRRUST	activation	mouse	mouse
etri_00230	CDX1	POSTN	1044	10631	1044	10631	22215184	TRRUST	unknown	human	human
etri_00231	CDX1	DSC2	1044	1824	1044	1824	18819935	HTRIdb_LC	unknown	human	human
etri_00231	CDX1	DSC2	1044	1824	1044	1824	18819935	TRRUST	unknown	human	human
etri_00232	CDX1	IRF2BP2	1044	359948	1044	359948	23185413	TRRUST	unknown	human	human
etri_00233	CDX1	PCNA	1044	5111	1044	5111	11743638	TRRUST	activation	human	human
etri_00234	CDX1	KRT20	1044	54474	1044	54474	19188603	TRRUST	unknown	human	human
etri_00235	CDX1	PPARG	1044	5468	1044	5468	19059241	TFactS	activation	human	human
etri_00235	CDX1	PPARG	1044	5468	1044	5468	19059241	TRRUST	activation	human	human
etri_00236	CDX1	PTGS2	1044	5743	1044	5743	21613300	TRRUST	activation	human	human
etri_00237	CDX1	CCL25	1044	6370	1044	6370	16517733	CytReg	activation	human	human
etri_00238	CDX1	TBP	1044	6908	1044	6908	17158164	TRRUST	unknown	human	human
etri_00239	CDX1	CLDN2	1044	9075	1044	9075	11934881	TFactS	activation	human	human
etri_00240	N4BP2L2	CDKN1A	10443	1026	10443	12575	19506020	InnateDB	unknown	human	mouse
etri_00241	CDX2	CDH17	1045	1015	1045	1015	12404231	TRRUST	unknown	human	human
etri_00241	CDX2	CDH17	1045	1015	1045	1015	15732140	TRRUST	unknown	human	human
etri_00241	CDX2	CDH17	1045	1015	1045	1015	20568120	TRRUST	activation	human	human
etri_00242	CDX2	CDKN1A	1045	1026	1045	1026	12970742	TFe	unknown	human	human
