TF_Symbol	TF_Entrez_ID	Species	Lambert	SFARI_Score	SFARI_Syndomic	GO_Neurodev	Neurodev_TF	N_Candidate_Paper	N_Paper_Total
SUZ12	23512	human	FALSE	0	0	TRUE	TRUE	43	568
PITX2	5308	human	TRUE	0	0	TRUE	TRUE	40	1007
BMP2	650	human	FALSE	0	0	TRUE	TRUE	39	6762
GLI3	2737	human	TRUE	0	0	TRUE	TRUE	39	1026
HDAC4	9759	human	FALSE	3	1	FALSE	TRUE	39	1075
HNF1B	6928	human	TRUE	0	0	TRUE	TRUE	38	1108
KDM6B	23135	human	FALSE	1	0	TRUE	TRUE	38	461
NCOR1	9611	human	FALSE	2	0	TRUE	TRUE	38	627
CUX1	1523	human	TRUE	2	0	FALSE	TRUE	37	341
ESR2	2100	human	TRUE	3	0	TRUE	TRUE	37	953
NFIA	4774	human	TRUE	3	0	FALSE	TRUE	37	222
GSK3B	2932	human	FALSE	0	0	TRUE	TRUE	36	4745
NEUROD1	4760	human	TRUE	0	0	TRUE	TRUE	36	774
IKZF1	10320	human	TRUE	0	0	TRUE	TRUE	35	792
ID2	3398	human	FALSE	0	0	TRUE	TRUE	34	1190
NF1	4763	human	FALSE	1	0	TRUE	TRUE	34	5815
PAX8	7849	human	TRUE	0	0	TRUE	TRUE	34	1493
NCOA1	8648	human	TRUE	0	0	TRUE	TRUE	33	717
RORA	6095	human	TRUE	0	0	TRUE	TRUE	33	548
SIN3A	25942	human	FALSE	1	0	TRUE	TRUE	33	448
TGFB1	7040	human	FALSE	0	0	TRUE	TRUE	33	7565
EGR2	1959	human	TRUE	0	0	TRUE	TRUE	32	889
ASCL1	429	human	TRUE	0	0	TRUE	TRUE	31	965
ZBTB16	7704	human	TRUE	3	0	TRUE	TRUE	31	504
LOC100862024	100862024	mouse	FALSE	0	0	TRUE	TRUE	30	NA
PAX2	5076	human	TRUE	0	0	TRUE	TRUE	30	1453
BMP4	652	human	FALSE	0	0	TRUE	TRUE	29	4341
BRD4	23476	human	FALSE	3	0	FALSE	TRUE	29	1549
DLX5	1749	human	TRUE	0	0	TRUE	TRUE	29	687
MEN1	4221	human	FALSE	0	0	TRUE	TRUE	29	2161
OTX2	5015	human	TRUE	0	0	TRUE	TRUE	29	945
PROX1	5629	human	TRUE	0	0	TRUE	TRUE	29	737
NR2F1	7025	human	TRUE	3	1	TRUE	TRUE	28	284
SOX4	6659	human	TRUE	0	0	TRUE	TRUE	28	613
ID1	3397	human	FALSE	0	0	TRUE	TRUE	27	1485
MTF1	4520	human	TRUE	3	0	TRUE	TRUE	27	156
NR0B1	190	human	TRUE	0	0	TRUE	TRUE	27	569
NR4A2	4929	human	TRUE	1	0	TRUE	TRUE	27	964
TFAP2C	7022	human	TRUE	0	0	TRUE	TRUE	27	207
KMT2A	4297	human	TRUE	1	0	FALSE	TRUE	26	1799
MED1	5469	human	FALSE	0	0	TRUE	TRUE	26	968
PER1	5187	human	FALSE	3	0	FALSE	TRUE	24	1758
ZEB2	9839	human	TRUE	0	0	TRUE	TRUE	24	1154
BRCA2	675	human	FALSE	3	0	TRUE	TRUE	23	NA
GTF2I	2969	human	TRUE	3	0	FALSE	TRUE	23	209
ISL1	3670	human	TRUE	0	0	TRUE	TRUE	23	626
KDM1A	23028	human	FALSE	0	0	TRUE	TRUE	23	832
NCOR2	9612	human	FALSE	0	0	TRUE	TRUE	23	453
NOTCH3	4854	human	FALSE	0	0	TRUE	TRUE	23	1714
RARB	5915	human	TRUE	0	0	TRUE	TRUE	23	288
LDB1	8861	human	FALSE	0	0	TRUE	TRUE	22	236
MBD1	4152	human	TRUE	3	0	FALSE	TRUE	22	275
MSX1	4487	human	TRUE	0	0	TRUE	TRUE	22	1041
Sf1	22668	mouse	FALSE	0	0	TRUE	TRUE	22	NA
LHX3	8022	human	TRUE	0	0	TRUE	TRUE	21	319
NR1D1	9572	human	TRUE	3	0	FALSE	TRUE	21	488
PER2	8864	human	FALSE	2	0	FALSE	TRUE	21	2178
NEUROG2	63973	human	TRUE	0	0	TRUE	TRUE	20	334
OLIG2	10215	human	TRUE	0	0	TRUE	TRUE	20	1329
RAD21	5885	human	FALSE	0	1	FALSE	TRUE	20	499
TBX2	6909	human	TRUE	0	0	TRUE	TRUE	20	345
ZNF148	7707	human	TRUE	0	0	TRUE	TRUE	20	97
KAT2B	8850	human	FALSE	2	0	FALSE	TRUE	19	83
SIX3	6496	human	TRUE	0	0	TRUE	TRUE	19	388
XRCC6	2547	human	FALSE	0	0	TRUE	TRUE	19	1444
EED	8726	human	FALSE	0	0	TRUE	TRUE	18	1183
ID3	3399	human	FALSE	0	0	TRUE	TRUE	18	815
IFNG	3458	human	FALSE	0	0	TRUE	TRUE	18	2691
PAX7	5081	human	TRUE	0	0	TRUE	TRUE	18	1668
PITX1	5307	human	TRUE	3	0	TRUE	TRUE	18	420
SIX1	6495	human	TRUE	0	0	TRUE	TRUE	18	570
FOXC1	2296	human	TRUE	0	0	TRUE	TRUE	17	577
LHX2	9355	human	TRUE	0	0	TRUE	TRUE	17	300
NKX2-2	4821	human	TRUE	0	0	TRUE	TRUE	17	567
SOX11	6664	human	TRUE	0	0	TRUE	TRUE	17	443
SOX5	6660	human	TRUE	1	0	TRUE	TRUE	17	403
BCL11A	53335	human	TRUE	1	0	FALSE	TRUE	16	521
EOMES	8320	human	TRUE	0	0	TRUE	TRUE	16	753
GSC	145258	human	TRUE	0	0	TRUE	TRUE	16	2192
HHEX	3087	human	TRUE	0	0	TRUE	TRUE	16	440
LMX1B	4010	human	TRUE	2	0	TRUE	TRUE	16	351
NFIB	4781	human	TRUE	3	1	TRUE	TRUE	16	324
SETDB1	9869	human	TRUE	3	0	FALSE	TRUE	16	346
TBX3	6926	human	TRUE	0	0	TRUE	TRUE	16	475
ATOH1	474	human	TRUE	0	0	TRUE	TRUE	15	631
FOXP1	27086	human	TRUE	1	0	FALSE	TRUE	15	664
MAFB	9935	human	TRUE	0	0	TRUE	TRUE	15	535
NEUROG3	50674	human	TRUE	0	0	TRUE	TRUE	15	529
PHOX2B	8929	human	TRUE	0	0	TRUE	TRUE	15	608
WNT3A	89780	human	FALSE	0	0	TRUE	TRUE	15	2348
DLX3	1747	human	TRUE	2	0	FALSE	TRUE	14	231
ESRRB	2103	human	TRUE	3	0	FALSE	TRUE	14	240
POU3F2	5454	human	TRUE	0	0	TRUE	TRUE	14	129
TAF1	6872	human	FALSE	0	0	TRUE	TRUE	14	290
ZIC2	7546	human	TRUE	0	0	TRUE	TRUE	14	276
ABL1	25	human	FALSE	0	0	TRUE	TRUE	13	2580
BTG2	7832	human	FALSE	0	0	TRUE	TRUE	13	398
FMR1	2332	human	FALSE	1	0	TRUE	TRUE	13	3499
FOXP2	93986	human	TRUE	2	0	TRUE	TRUE	13	620
MAPK1	5594	human	FALSE	0	0	TRUE	TRUE	13	2717
MECOM	2122	human	TRUE	0	0	TRUE	TRUE	13	516
NFIX	4784	human	TRUE	0	0	TRUE	TRUE	13	155
PBX1	100131938	human	FALSE	3	0	FALSE	TRUE	13	850
PHOX2A	401	human	TRUE	0	0	TRUE	TRUE	13	194
SATB2	23314	human	TRUE	3	1	TRUE	TRUE	13	479
SKI	6497	human	TRUE	0	0	TRUE	TRUE	13	4086
SOX6	55553	human	FALSE	0	0	TRUE	TRUE	13	412
SOX8	30812	human	TRUE	0	0	TRUE	TRUE	13	169
BCL11B	64919	human	TRUE	0	0	TRUE	TRUE	12	348
CITED2	10370	human	FALSE	0	0	TRUE	TRUE	12	250
COMMD3-BMI1	100532731	human	FALSE	0	0	TRUE	TRUE	12	3
KDM5B	10765	human	TRUE	2	0	FALSE	TRUE	12	292
LMO4	8543	human	FALSE	0	0	TRUE	TRUE	12	179
MEIS2	4212	human	TRUE	1	0	FALSE	TRUE	12	184
MRTFA	57591	human	FALSE	0	0	TRUE	TRUE	12	329
NR2E1	7101	human	TRUE	0	0	TRUE	TRUE	12	144
NR3C2	4306	human	TRUE	2	1	FALSE	TRUE	12	266
POU4F1	5457	human	TRUE	0	0	TRUE	TRUE	12	217
ATF5	22809	human	FALSE	0	0	TRUE	TRUE	11	167
DLX2	1746	human	TRUE	3	0	TRUE	TRUE	11	310
Esrra	26379	mouse	FALSE	0	0	TRUE	TRUE	11	NA
HOXA1	3198	human	TRUE	0	0	TRUE	TRUE	11	316
JARID2	3720	human	FALSE	2	0	TRUE	TRUE	11	205
KDM4B	23030	human	FALSE	3	0	FALSE	TRUE	11	145
NPAS2	4862	human	TRUE	3	0	TRUE	TRUE	11	310
PTF1A	256297	human	TRUE	0	0	TRUE	TRUE	11	314
SOX3	6658	human	TRUE	0	0	TRUE	TRUE	11	423
TBX1	6899	human	TRUE	0	0	TRUE	TRUE	11	589
TLX1	3195	human	TRUE	0	0	TRUE	TRUE	11	233
XRCC5	7520	human	FALSE	0	0	TRUE	TRUE	11	935
EN1	2019	human	TRUE	0	0	TRUE	TRUE	10	426
FOXG1	2290	human	TRUE	1	0	TRUE	TRUE	10	460
GRIP1	23426	human	FALSE	2	0	FALSE	TRUE	10	409
NKX6-1	4825	human	TRUE	0	0	TRUE	TRUE	10	491
NR2C2	7182	human	TRUE	0	0	TRUE	TRUE	10	109
NR4A3	8013	human	TRUE	0	0	TRUE	TRUE	10	412
TBX20	57057	human	TRUE	0	0	TRUE	TRUE	10	172
THRA	7067	human	TRUE	3	0	TRUE	TRUE	10	272
WNT1	7471	human	FALSE	3	0	TRUE	TRUE	10	3123
ARID1A	8289	human	FALSE	0	0	TRUE	TRUE	9	1011
EZH1	2145	human	FALSE	0	0	TRUE	TRUE	9	187
MBD3	53615	human	TRUE	3	0	TRUE	TRUE	9	242
NCOA6	23054	human	FALSE	0	0	TRUE	TRUE	9	146
SND1	27044	human	FALSE	3	0	FALSE	TRUE	9	234
TRRAP	8295	human	FALSE	3	1	FALSE	TRUE	9	182
ZIC1	7545	human	TRUE	0	0	TRUE	TRUE	9	265
ARX	170302	human	TRUE	1	0	TRUE	TRUE	8	789
CIC	23152	human	TRUE	1	0	TRUE	TRUE	8	NA
HDAC11	79885	human	FALSE	0	0	TRUE	TRUE	8	161
HOXB1	3211	human	TRUE	0	0	TRUE	TRUE	8	247
MAL	4118	human	FALSE	0	0	TRUE	TRUE	8	NA
NIPBL	25836	human	FALSE	1	0	TRUE	TRUE	8	293
TBR1	10716	human	TRUE	1	0	TRUE	TRUE	8	277
GCM1	8521	human	TRUE	0	0	TRUE	TRUE	7	164
Hmga2	15364	mouse	FALSE	0	0	TRUE	TRUE	7	NA
HOXA2	3199	human	TRUE	0	0	TRUE	TRUE	7	182
KAT2A	2648	human	FALSE	0	0	TRUE	TRUE	7	126
LHX4	89884	human	TRUE	0	0	TRUE	TRUE	7	153
PITX3	5309	human	TRUE	0	0	TRUE	TRUE	7	466
Sry	21674	mouse	FALSE	0	0	TRUE	TRUE	7	NA
SUFU	51684	human	FALSE	0	0	TRUE	TRUE	7	512
TET2	54790	human	TRUE	2	0	FALSE	TRUE	7	1773
WNT5A	7474	human	FALSE	0	0	TRUE	TRUE	7	2173
ATRX	546	human	FALSE	1	0	TRUE	TRUE	6	1050
DLX1	1745	human	TRUE	0	0	TRUE	TRUE	6	223
EHMT1	79813	human	FALSE	1	0	FALSE	TRUE	6	198
ERCC2	2068	human	FALSE	0	0	TRUE	TRUE	6	1175
Foxp1	108655	mouse	FALSE	0	0	TRUE	TRUE	6	NA
GBX2	2637	human	TRUE	0	0	TRUE	TRUE	6	229
HES5	388585	human	TRUE	0	0	TRUE	TRUE	6	516
HESX1	8820	human	TRUE	0	0	TRUE	TRUE	6	238
HMGN1	3150	human	FALSE	2	0	FALSE	TRUE	6	119
ID4	3400	human	FALSE	0	0	TRUE	TRUE	6	388
LHX1	3975	human	TRUE	0	0	TRUE	TRUE	6	307
MBD4	8930	human	TRUE	3	0	FALSE	TRUE	6	279
MNT	4335	human	TRUE	3	0	FALSE	TRUE	6	1237
Pou3f1	18991	mouse	FALSE	0	0	TRUE	TRUE	6	NA
RFX3	5991	human	TRUE	1	0	FALSE	TRUE	6	54
SOX1	6656	human	TRUE	0	0	TRUE	TRUE	6	461
SSRP1	6749	human	FALSE	3	0	FALSE	TRUE	6	186
TERF2	7014	human	TRUE	2	0	FALSE	TRUE	6	286
TLX3	30012	human	TRUE	0	0	TRUE	TRUE	6	144
ZBTB20	26137	human	TRUE	1	0	FALSE	TRUE	6	106
APBB1	322	human	FALSE	2	0	FALSE	TRUE	5	189
CHD1	1105	human	FALSE	3	1	FALSE	TRUE	5	330
CHD7	55636	human	FALSE	1	0	TRUE	TRUE	5	458
CHD8	57680	human	FALSE	1	0	TRUE	TRUE	5	152
CUX2	23316	human	TRUE	3	1	FALSE	TRUE	5	129
DEAF1	10522	human	TRUE	2	1	FALSE	TRUE	5	83
FEZF2	55079	human	TRUE	3	0	TRUE	TRUE	5	110
FOXJ1	2302	human	TRUE	0	0	TRUE	TRUE	5	305
GRHL2	79977	human	TRUE	0	0	TRUE	TRUE	5	167
GRHL3	57822	human	TRUE	0	0	TRUE	TRUE	5	146
HOXC10	3226	human	TRUE	0	0	TRUE	TRUE	5	80
KDM2B	84678	human	FALSE	0	0	TRUE	TRUE	5	125
KDM4C	23081	human	FALSE	2	0	FALSE	TRUE	5	140
NDN	4692	human	FALSE	0	0	TRUE	TRUE	5	264
NHLH2	4808	human	TRUE	0	0	TRUE	TRUE	5	52
PHF8	23133	human	FALSE	0	0	TRUE	TRUE	5	95
POU3F1	5453	human	TRUE	0	0	TRUE	TRUE	5	147
POU3F3	5455	human	TRUE	0	1	TRUE	TRUE	5	69
POU3F4	5456	human	TRUE	0	0	TRUE	TRUE	5	163
PROP1	5626	human	TRUE	0	0	TRUE	TRUE	5	301
PYGO2	90780	human	FALSE	0	0	TRUE	TRUE	5	79
SIRT2	22933	human	FALSE	0	0	TRUE	TRUE	5	991
SRSF1	6426	human	FALSE	0	0	TRUE	TRUE	5	296
ZFHX3	463	human	TRUE	0	0	TRUE	TRUE	5	157
BTAF1	9044	human	FALSE	2	0	FALSE	TRUE	4	26
CHD3	1107	human	FALSE	1	0	FALSE	TRUE	4	200
GRIN1	2902	human	FALSE	2	0	TRUE	TRUE	4	295
HNRNPK	3190	human	FALSE	0	0	TRUE	TRUE	4	226
HOXB2	3212	human	TRUE	0	0	TRUE	TRUE	4	127
HOXD10	3236	human	TRUE	0	0	TRUE	TRUE	4	196
ILF2	3608	human	FALSE	2	0	FALSE	TRUE	4	98
KMT2C	58508	human	FALSE	1	0	FALSE	TRUE	4	231
MAPK3	5595	human	FALSE	3	0	TRUE	TRUE	4	581
NEUROD2	4761	human	TRUE	0	0	TRUE	TRUE	4	119
SETBP1	26040	human	TRUE	1	0	FALSE	TRUE	4	199
SHOX	6473	human	TRUE	2	0	FALSE	TRUE	4	463
SRCAP	10847	human	TRUE	1	0	FALSE	TRUE	4	109
SYT1	6857	human	FALSE	0	0	TRUE	TRUE	4	555
TBL1XR1	79718	human	FALSE	2	0	FALSE	TRUE	4	121
TRIM33	51592	human	FALSE	3	0	FALSE	TRUE	4	167
WWP1	11059	human	FALSE	0	0	TRUE	TRUE	4	136
BPTF	2186	human	TRUE	0	0	TRUE	TRUE	3	107
CHD5	26038	human	FALSE	0	0	TRUE	TRUE	3	108
DDX3X	1654	human	FALSE	1	0	FALSE	TRUE	3	341
DLX6	1750	human	TRUE	3	0	FALSE	TRUE	3	226
EMX2	2018	human	TRUE	0	0	TRUE	TRUE	3	286
EN2	2020	human	TRUE	3	0	TRUE	TRUE	3	319
EPOR	2057	human	FALSE	0	0	TRUE	TRUE	3	1274
Ewsr1	14030	mouse	FALSE	0	0	TRUE	TRUE	3	NA
FOXN4	121643	human	TRUE	0	0	TRUE	TRUE	3	56
Foxp2	114142	mouse	FALSE	0	0	TRUE	TRUE	3	NA
HNRNPD	3184	human	FALSE	0	0	TRUE	TRUE	3	77
IFNGR1	3459	human	FALSE	0	0	TRUE	TRUE	3	310
KAT6A	7994	human	FALSE	2	1	FALSE	TRUE	3	162
LEO1	123169	human	FALSE	2	0	FALSE	TRUE	3	60
LMX1A	4009	human	TRUE	0	0	TRUE	TRUE	3	250
NEUROD6	63974	human	TRUE	0	0	TRUE	TRUE	3	85
NFE2L1	4779	human	TRUE	0	0	TRUE	TRUE	3	129
RAX	30062	human	TRUE	0	0	TRUE	TRUE	3	217
SALL1	6299	human	TRUE	0	0	TRUE	TRUE	3	241
SALL3	27164	human	TRUE	0	0	TRUE	TRUE	3	62
SMARCA1	6594	human	FALSE	0	0	TRUE	TRUE	3	115
SMARCC2	6601	human	FALSE	1	0	TRUE	TRUE	3	58
SMURF1	57154	human	FALSE	3	0	FALSE	TRUE	3	356
SOX12	6666	human	TRUE	0	0	TRUE	TRUE	3	52
SPEN	23013	human	TRUE	2	0	FALSE	TRUE	3	213
TOP2B	7155	human	FALSE	0	0	TRUE	TRUE	3	130
Ttf1	22130	mouse	FALSE	0	0	TRUE	TRUE	3	NA
ZIC3	7547	human	TRUE	0	0	TRUE	TRUE	3	167
ACTB	60	human	FALSE	0	0	TRUE	TRUE	2	1081
AKNA	80709	human	TRUE	0	0	TRUE	TRUE	2	28
ARHGAP35	2909	human	TRUE	0	0	TRUE	TRUE	2	207
ARID1B	57492	human	FALSE	1	0	FALSE	TRUE	2	228
ASH1L	55870	human	FALSE	1	0	FALSE	TRUE	2	90
CASZ1	54897	human	TRUE	2	0	FALSE	TRUE	2	65
CC2D1A	54862	human	TRUE	2	0	FALSE	TRUE	2	64
CNOT3	4849	human	FALSE	1	0	FALSE	TRUE	2	52
CSNK2A1	1457	human	FALSE	0	0	TRUE	TRUE	2	166
DST	667	human	FALSE	3	0	FALSE	TRUE	2	7277
Elf5	13711	mouse	FALSE	0	0	TRUE	TRUE	2	NA
ELP3	55140	human	FALSE	0	0	TRUE	TRUE	2	143
EVX1	2128	human	TRUE	0	0	TRUE	TRUE	2	80
FEZF1	389549	human	TRUE	0	0	TRUE	TRUE	2	66
Fus	233908	mouse	FALSE	0	0	TRUE	TRUE	2	NA
HDAC10	83933	human	FALSE	0	0	TRUE	TRUE	2	107
HOXB3	3213	human	TRUE	0	0	TRUE	TRUE	2	112
JMJD1C	221037	human	FALSE	3	0	FALSE	TRUE	2	81
Klf16	118445	mouse	FALSE	0	0	TRUE	TRUE	2	NA
LBX1	10660	human	TRUE	0	0	TRUE	TRUE	2	128
LHX6	26468	human	TRUE	0	0	TRUE	TRUE	2	156
MCM6	4175	human	FALSE	3	0	FALSE	TRUE	2	297
Ncoa6	56406	mouse	FALSE	0	0	TRUE	TRUE	2	NA
NFE2L3	9603	human	TRUE	2	0	FALSE	TRUE	2	49
OLIG1	116448	human	TRUE	0	0	TRUE	TRUE	2	247
OTX1	5013	human	TRUE	3	0	TRUE	TRUE	2	219
PBX3	5090	human	TRUE	0	0	TRUE	TRUE	2	156
RALA	5898	human	FALSE	0	1	FALSE	TRUE	2	462
SETDB2	83852	human	TRUE	3	0	FALSE	TRUE	2	46
SMAD9	4093	human	TRUE	0	0	TRUE	TRUE	2	132
TBL1X	6907	human	FALSE	3	0	FALSE	TRUE	2	59
TCF20	6942	human	TRUE	1	0	FALSE	TRUE	2	41
TFAP2D	83741	human	TRUE	0	0	TRUE	TRUE	2	12
TSHZ3	57616	human	TRUE	1	0	FALSE	TRUE	2	30
VAX2	25806	human	TRUE	0	0	TRUE	TRUE	2	171
ZBTB18	10472	human	TRUE	0	0	TRUE	TRUE	2	41
ZMYND11	10771	human	FALSE	2	0	FALSE	TRUE	2	74
ZNF488	118738	human	TRUE	0	0	TRUE	TRUE	2	5
AGT	183	human	FALSE	0	0	TRUE	TRUE	1	NA
ARID2	196528	human	TRUE	3	1	FALSE	TRUE	1	123
BARHL1	56751	human	TRUE	0	0	TRUE	TRUE	1	37
BMP7	655	human	FALSE	0	0	TRUE	TRUE	1	NA
BSX	390259	human	TRUE	0	0	TRUE	TRUE	1	90
CSF1R	1436	human	FALSE	0	0	TRUE	TRUE	1	NA
DBX1	120237	human	TRUE	0	0	TRUE	TRUE	1	97
DMBX1	127343	human	TRUE	0	0	TRUE	TRUE	1	28
EBF3	253738	human	TRUE	1	0	FALSE	TRUE	1	77
EFNA2	1943	human	FALSE	0	0	TRUE	TRUE	1	14
EPHB1	2047	human	FALSE	0	0	TRUE	TRUE	1	226
GBX1	2636	human	TRUE	0	0	TRUE	TRUE	1	34
GLIS1	148979	human	TRUE	3	0	FALSE	TRUE	1	47
GLIS2	84662	human	TRUE	0	0	TRUE	TRUE	1	74
GSX2	170825	human	TRUE	0	0	TRUE	TRUE	1	45
HELT	391723	human	TRUE	0	0	TRUE	TRUE	1	161
Hmgb1	15289	mouse	FALSE	0	0	TRUE	TRUE	1	NA
Hmgn3	94353	mouse	FALSE	0	0	TRUE	TRUE	1	NA
HMX2	3167	human	TRUE	0	0	TRUE	TRUE	1	42
HMX3	340784	human	TRUE	0	0	TRUE	TRUE	1	39
Hnrnpa1	15382	mouse	FALSE	0	0	TRUE	TRUE	1	NA
HOXB8	3218	human	TRUE	0	0	TRUE	TRUE	1	161
IRF2BPL	64207	human	FALSE	1	0	FALSE	TRUE	1	NA
Irx5	54352	mouse	FALSE	0	0	TRUE	TRUE	1	NA
ISL2	64843	human	TRUE	0	0	TRUE	TRUE	1	57
KLF16	83855	human	TRUE	3	0	FALSE	TRUE	1	29
LHX8	431707	human	TRUE	0	0	TRUE	TRUE	1	120
Map3k7	26409	mouse	FALSE	0	0	TRUE	TRUE	1	NA
MNX1	3110	human	TRUE	0	0	TRUE	TRUE	1	173
MYRF	745	human	TRUE	0	0	TRUE	TRUE	1	64
NHLH1	4807	human	TRUE	0	0	TRUE	TRUE	1	45
NPAS1	4861	human	TRUE	0	0	TRUE	TRUE	1	37
PHF2	5253	human	FALSE	2	0	FALSE	TRUE	1	52
POU6F2	11281	human	TRUE	0	0	TRUE	TRUE	1	24
PRDM8	56978	human	TRUE	0	0	TRUE	TRUE	1	26
Rbfox3	52897	mouse	FALSE	0	0	TRUE	TRUE	1	NA
RERE	473	human	FALSE	1	0	TRUE	TRUE	1	86
RFX4	5992	human	TRUE	0	0	TRUE	TRUE	1	32
Rfx5	53970	mouse	FALSE	0	0	TRUE	TRUE	1	NA
SMG6	23293	human	FALSE	3	0	FALSE	TRUE	1	84
SMO	6608	human	FALSE	0	0	TRUE	TRUE	1	NA
TBX19	9095	human	TRUE	0	0	TRUE	TRUE	1	80
UNCX	340260	human	TRUE	0	0	TRUE	TRUE	1	16
YWHAE	7531	human	FALSE	3	0	TRUE	TRUE	1	259
ZNF335	63925	human	TRUE	0	0	TRUE	TRUE	1	23
ADNP	23394	human	TRUE	1	0	FALSE	TRUE	0	226
AHDC1	27245	human	TRUE	1	0	FALSE	TRUE	0	21
BAZ2B	29994	human	TRUE	1	0	FALSE	TRUE	0	32
BHLHE22	27319	human	TRUE	0	0	TRUE	TRUE	0	31
DMRT3	58524	human	TRUE	0	0	TRUE	TRUE	0	76
DMRTA2	63950	human	TRUE	0	0	TRUE	TRUE	0	26
DRGX	644168	human	TRUE	0	0	TRUE	TRUE	0	7
EMX1	2016	human	TRUE	0	0	TRUE	TRUE	0	211
FOXB1	27023	human	TRUE	0	0	TRUE	TRUE	0	40
GSX1	219409	human	TRUE	0	0	TRUE	TRUE	0	13
HES3	390992	human	TRUE	0	0	TRUE	TRUE	0	95
HIVEP3	59269	human	TRUE	2	0	FALSE	TRUE	0	35
JRKL	8690	human	TRUE	0	0	TRUE	TRUE	0	3
LHX5	64211	human	TRUE	0	0	TRUE	TRUE	0	62
MBD6	114785	human	TRUE	3	0	FALSE	TRUE	0	17
