DTRI_ID	Experiment_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID_Human	Target_Entrez_ID_Human	TF_Entrez_ID	Target_Entrez_ID	PubMed_ID	TF_Species	Target_Species	Experiment_Type	Context_Type	Cell_Type	Age	TFBS	Mode
tri_0863	exp_0618	PAX6	PDX1	5080	3651	18508	18609	12052878	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0841	exp_3046	PAX6	MAB21L2	5080	10586	18508	23937	19132093	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0841	exp_3047	PAX6	MAB21L2	5080	10586	18508	23937	19132093	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	repression
tri_0858	exp_0140	PAX6	GIP	5080	2695	5080	2695	18593849	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0858	exp_0142	PAX6	GIP	5080	2695	18508	2695	18593849	mouse	human	reporter	cell_line	CLO_0037044	not_applicable	proximal	activation
tri_0858	exp_0141	PAX6	GIP	5080	2695	18508	2695	18593849	mouse	human	reporter	cell_line	CLO_0004342	not_applicable	proximal	activation
tri_0833	exp_3367	PAX6	OLIG2	5080	10215	18508	50913	21698109	mouse	mouse	binding	primary_tissue	UBERON_0001890	P4	proximal	not_applicable
tri_0833	exp_3369	PAX6	OLIG2	5080	10215	18508	50913	21698109	mouse	mouse	perturbation	cell_line	EFO_0002887	not_applicable	not_applicable	repression
tri_0833	exp_3368	PAX6	OLIG2	5080	10215	18508	50913	21698109	mouse	mouse	reporter	cell_line	EFO_0002887	not_applicable	proximal	repression
tri_0848	exp_2402	PAX6	Gcg	5080	14526	18508	14526	10478839	mouse	mouse	perturbation	primary_tissue	UBERON_0002108	P1	not_applicable	activation
tri_0848	exp_2403	PAX6	Gcg	5080	14526	18508	14526	10478839	mouse	mouse	perturbation	primary_tissue	UBERON_0000059	P1	not_applicable	activation
tri_0869	exp_2291	PAX6	KRT12	5080	3859	5080	3859	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0872	exp_1671	PAX6	MET	5080	4233	5080	4233	19651775	human	human	binding	cell_line	CLO_0008381	not_applicable	proximal	not_applicable
tri_0872	exp_1672	PAX6	MET	5080	4233	5080	4233	19651775	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0872	exp_1675	PAX6	MET	5080	4233	5080	4233	19651775	human	human	perturbation	cell_line	CLO_0008381	not_applicable	not_applicable	activation
tri_0872	exp_1673	PAX6	MET	5080	4233	5080	4233	19651775	human	human	reporter	cell_line	CLO_0051650	not_applicable	proximal	activation
tri_0872	exp_1674	PAX6	MET	5080	4233	5080	4233	19651775	human	human	reporter	cell_line	CLO_0008381	not_applicable	proximal	activation
tri_0879	exp_3029	PAX6	PCSK1	5080	5122	18508	18548	19034419	mouse	mouse	binding	cell_line	CLO_0008175	not_applicable	unknown	not_applicable
tri_0879	exp_3031	PAX6	PCSK1	5080	5122	18508	18548	19034419	mouse	mouse	perturbation	primary_tissue	UBERON_0000006	unknown	not_applicable	activation
tri_0879	exp_3030	PAX6	PCSK1	5080	5122	18508	18548	19034419	mouse	mouse	reporter	cell_line	CLO_0008172	not_applicable	unknown	activation
tri_0881	exp_3783	PAX6	PROX1	5080	5629	18508	19130	26138486	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0881	exp_3784	PAX6	PROX1	5080	5629	18508	19130	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	E9.5	not_applicable	activation
tri_0887	exp_2472	PAX6	SIX3	5080	6496	18508	20473	12072567	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	unknown	not_applicable
tri_0887	exp_2474	PAX6	SIX3	5080	6496	18508	20473	12072567	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	E12.5	not_applicable	activation
tri_0887	exp_2473	PAX6	SIX3	5080	6496	18508	20473	12072567	mouse	mouse	reporter	cell_line	CLO_0002597	not_applicable	unknown	activation
tri_0853	exp_2976	PAX6	ALDH3A1	5080	218	5080	218	18436815	human	human	binding	cell_line	CLO_0008132	not_applicable	proximal	not_applicable
tri_0853	exp_2290	PAX6	ALDH3A1	5080	218	5080	218	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0853	exp_2973	PAX6	ALDH3A1	5080	218	18508	11670	18436815	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0853	exp_2974	PAX6	ALDH3A1	5080	218	18508	11670	18436815	mouse	mouse	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0854	exp_1615	PAX6	ATOH7	5080	220202	5080	220202	19208436	human	human	binding	cell_line	BTO_0002919	not_applicable	proximal	not_applicable
tri_0854	exp_1617	PAX6	ATOH7	5080	220202	5080	220202	19208436	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0854	exp_1616	PAX6	ATOH7	5080	220202	5080	220202	19208436	human	human	reporter	cell_line	BTO_0002919	not_applicable	proximal	activation
tri_0854	exp_3065	PAX6	ATOH7	5080	220202	18508	53404	19208436	mouse	mouse	perturbation	primary_cell	CL_0002672	E13.5	not_applicable	activation
tri_0884	exp_3711	PAX6	BCL9	5080	607	18508	77578	25184676	mouse	mouse	binding	cell_line	BTO_0001872	not_applicable	unknown	not_applicable
tri_0884	exp_3713	PAX6	BCL9	5080	607	18508	77578	25184676	mouse	mouse	perturbation	primary_tissue	UBERON_0000924	E10.5	not_applicable	activation
tri_0884	exp_3712	PAX6	BCL9	5080	607	18508	77578	25184676	mouse	mouse	perturbation	cell_line	BTO_0001872	not_applicable	not_applicable	activation
tri_0860	exp_3714	PAX6	BCL9L	5080	283149	18508	80288	25184676	mouse	mouse	binding	cell_line	BTO_0001872	not_applicable	unknown	not_applicable
tri_0860	exp_3716	PAX6	BCL9L	5080	283149	18508	80288	25184676	mouse	mouse	perturbation	primary_tissue	UBERON_0000924	E10.5	not_applicable	activation
tri_0860	exp_3715	PAX6	BCL9L	5080	283149	18508	80288	25184676	mouse	mouse	perturbation	cell_line	BTO_0001872	not_applicable	not_applicable	activation
tri_0832	exp_3607	PAX6	CDK6	5080	1021	18508	12571	23622063	mouse	mouse	binding	primary_tissue	UBERON_0000956	E12.5	unknown	not_applicable
tri_0832	exp_3608	PAX6	CDK6	5080	1021	18508	12571	23622063	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	unknown	not_applicable
tri_0832	exp_3610	PAX6	CDK6	5080	1021	18508	12571	23622063	mouse	mouse	perturbation	primary_tissue	UBERON_0000956	E12.5	not_applicable	repression
tri_0832	exp_3609	PAX6	CDK6	5080	1021	18508	12571	23622063	mouse	mouse	reporter	cell_line	CLO_0001230	not_applicable	unknown	repression
tri_0836	exp_2811	PAX6	CDKN1B	5080	1027	18508	12576	17157287	mouse	mouse	binding	primary_tissue	UBERON_0001851	E12.5	distal	not_applicable
tri_0836	exp_2812	PAX6	CDKN1B	5080	1027	18508	12576	17157287	mouse	mouse	binding	primary_cell	CL_0009004	E9.5	distal	not_applicable
tri_0836	exp_2813	PAX6	CDKN1B	5080	1027	18508	12576	17157287	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_0836	exp_2814	PAX6	CDKN1B	5080	1027	18508	12576	17157287	mouse	mouse	perturbation	primary_tissue	UBERON_0001851	E12.5	not_applicable	activation
tri_0836	exp_2815	PAX6	CDKN1B	5080	1027	18508	12576	17157287	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E9.5	not_applicable	activation
tri_0846	exp_2742	PAX6	CRYAA	5080	1409	18508	12954	16675956	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	distal	not_applicable
tri_0837	exp_2742	PAX6	CRYAA2	5080	102724652	18508	12954	16675956	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	distal	not_applicable
tri_0846	exp_3278	PAX6	CRYAA	5080	1409	18508	12954	21092858	mouse	mouse	binding	primary_cell	CL_0000099	P90	proximal	not_applicable
tri_0837	exp_3278	PAX6	CRYAA2	5080	102724652	18508	12954	21092858	mouse	mouse	binding	primary_cell	CL_0000099	P90	proximal	not_applicable
tri_0846	exp_3281	PAX6	CRYAA	5080	1409	18508	12954	21092858	mouse	mouse	perturbation	primary_cell	CL_0000099	P106	not_applicable	activation
tri_0837	exp_3281	PAX6	CRYAA2	5080	102724652	18508	12954	21092858	mouse	mouse	perturbation	primary_cell	CL_0000099	P106	not_applicable	activation
tri_0846	exp_2745	PAX6	CRYAA	5080	1409	18508	12954	16675956	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	distal	activation
tri_0837	exp_2745	PAX6	CRYAA2	5080	102724652	18508	12954	16675956	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	distal	activation
tri_0846	exp_3279	PAX6	CRYAA	5080	1409	18508	12954	21092858	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_0837	exp_3279	PAX6	CRYAA2	5080	102724652	18508	12954	21092858	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_0846	exp_3280	PAX6	CRYAA	5080	1409	18508	12954	21092858	mouse	mouse	reporter	cell_line	CLO_0008154	not_applicable	proximal	activation
tri_0837	exp_3280	PAX6	CRYAA2	5080	102724652	18508	12954	21092858	mouse	mouse	reporter	cell_line	CLO_0008154	not_applicable	proximal	activation
tri_0847	exp_3944	PAX6	CRYAB	5080	1410	18508	12955	8798491	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0847	exp_2603	PAX6	CRYAB	5080	1410	18508	12955	15020706	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	unknown	activation
tri_0847	exp_3945	PAX6	CRYAB	5080	1410	18508	12955	8798491	mouse	mouse	reporter	cell_line	EFO_0002887	not_applicable	proximal	activation
tri_0859	exp_0444	PAX6	DKK3	5080	27122	5080	27122	25029272	human	human	perturbation	cell_line	CLO_0003816	not_applicable	not_applicable	activation
tri_0859	exp_0445	PAX6	DKK3	5080	27122	5080	27122	25029272	human	human	perturbation	cell_line	CLO_0008103	not_applicable	not_applicable	repression
tri_0859	exp_0446	PAX6	DKK3	5080	27122	5080	27122	25029272	human	human	perturbation	cell_line	CLO_0008089	not_applicable	not_applicable	repression
tri_0859	exp_0447	PAX6	DKK3	5080	27122	5080	27122	25029272	human	human	perturbation	cell_line	CLO_0008395	not_applicable	not_applicable	repression
tri_0859	exp_0448	PAX6	DKK3	5080	27122	5080	27122	25029272	human	human	perturbation	cell_line	CLO_0003450	not_applicable	not_applicable	repression
tri_0859	exp_0449	PAX6	DKK3	5080	27122	5080	27122	25029272	human	human	perturbation	cell_line	CLO_0001812	not_applicable	not_applicable	repression
tri_0859	exp_3486	PAX6	DKK3	5080	27122	18508	50781	22792072	mouse	mouse	binding	primary_cell	CL_0002586	E11.5	distal	not_applicable
tri_0859	exp_1098	PAX6	DKK3	5080	27122	18508	50781	25029272	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0859	exp_3487	PAX6	DKK3	5080	27122	18508	50781	22792072	mouse	mouse	perturbation	primary_cell	CL_0002586	E11.5	not_applicable	repression
tri_0859	exp_0443	PAX6	DKK3	5080	27122	18508	50781	25029272	mouse	mouse	perturbation	cell_line	CLO_0001345	not_applicable	not_applicable	activation
tri_0859	exp_2015	PAX6	DKK3	5080	27122	18508	50781	22792072	mouse	mouse	reporter	cell_line	CLO_0001749	not_applicable	distal	repression
tri_0859	exp_1099	PAX6	DKK3	5080	27122	18508	50781	25029272	mouse	mouse	reporter	cell_line	CLO_0003684	not_applicable	proximal	activation
tri_0859	exp_1100	PAX6	DKK3	5080	27122	18508	50781	25029272	mouse	mouse	reporter	cell_line	CLO_0001345	not_applicable	proximal	activation
tri_0894	exp_3484	PAX6	FGF19	5080	9965	18508	14170	22792072	mouse	mouse	binding	primary_cell	CL_0002586	E11.5	proximal	not_applicable
tri_0894	exp_3485	PAX6	FGF19	5080	9965	18508	14170	22792072	mouse	mouse	perturbation	primary_cell	CL_0002586	E11.5	not_applicable	repression
tri_0894	exp_2014	PAX6	FGF19	5080	9965	18508	14170	22792072	mouse	mouse	reporter	cell_line	CLO_0001749	not_applicable	proximal	repression
tri_0882	exp_2618	PAX6	G6PC2	5080	57818	18508	14378	15180990	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	proximal	not_applicable
tri_0882	exp_2619	PAX6	G6PC2	5080	57818	18508	14378	15180990	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0857	exp_2497	PAX6	GCK	5080	2645	18508	103988	12426319	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	proximal	not_applicable
tri_0861	exp_0740	PAX6	HOXD4	5080	3233	18508	15436	17010333	mouse	mouse	binding	cell_line	CLO_0008302	not_applicable	distal	not_applicable
tri_0861	exp_0741	PAX6	HOXD4	5080	3233	18508	15436	17010333	mouse	mouse	binding	primary_tissue	UBERON_0002100	E8	distal	not_applicable
tri_0861	exp_0742	PAX6	HOXD4	5080	3233	18508	15436	17010333	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_0861	exp_0743	PAX6	HOXD4	5080	3233	18508	15436	17010333	mouse	mouse	perturbation	primary_tissue	UBERON_0001049	E8.5	not_applicable	activation
tri_0871	exp_3399	PAX6	MAF	5080	4094	18508	17132	21998302	mouse	mouse	binding	primary_tissue	UBERON_0000965	P0	proximal	not_applicable
tri_0871	exp_3401	PAX6	MAF	5080	4094	18508	17132	21998302	mouse	mouse	perturbation	primary_tissue	UBERON_0003073	E9.5	not_applicable	activation
tri_0871	exp_3402	PAX6	MAF	5080	4094	18508	17132	21998302	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	E15.5	not_applicable	activation
tri_0871	exp_3400	PAX6	MAF	5080	4094	18508	17132	21998302	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_0870	exp_0924	PAX6	MAFA	5080	389692	18508	378435	20584984	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	distal	not_applicable
tri_0870	exp_0925	PAX6	MAFA	5080	389692	18508	378435	20584984	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_0870	exp_0926	PAX6	MAFA	5080	389692	18508	378435	20584984	mouse	mouse	perturbation	primary_tissue	UBERON_0001264	P2	not_applicable	activation
tri_0874	exp_2415	PAX6	MMP9	5080	4318	18508	17395	10885745	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0874	exp_2416	PAX6	MMP9	5080	4318	18508	17395	10885745	mouse	mouse	reporter	cell_line	CLO_0009019	not_applicable	proximal	activation
tri_0886	exp_3779	PAX6	NEUROG2	5080	63973	18508	11924	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0886	exp_0632	PAX6	NEUROG2	5080	63973	18508	11924	12783797	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0886	exp_0634	PAX6	NEUROG2	5080	63973	18508	11924	12783797	mouse	mouse	perturbation	primary_tissue	UBERON_0002240	E10.5	not_applicable	activation
tri_0886	exp_3780	PAX6	NEUROG2	5080	63973	18508	11924	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	activation
tri_0886	exp_0633	PAX6	NEUROG2	5080	63973	18508	11924	12783797	mouse	mouse	reporter	primary_tissue	UBERON_0001049	E1.5	proximal	activation
tri_0875	exp_3728	PAX6	ODF2	5080	4957	18508	18286	25352170	mouse	mouse	binding	primary_tissue	UBERON_0000956	E12.5	proximal	not_applicable
tri_0875	exp_3729	PAX6	ODF2	5080	4957	18508	18286	25352170	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0875	exp_3731	PAX6	ODF2	5080	4957	18508	18286	25352170	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E15.5	not_applicable	activation
tri_0875	exp_3730	PAX6	ODF2	5080	4957	18508	18286	25352170	mouse	mouse	reporter	cell_line	CLO_0008172	not_applicable	proximal	activation
tri_0876	exp_2420	PAX6	PAX2	5080	5076	18508	18504	11003833	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_0876	exp_2422	PAX6	PAX2	5080	5076	18508	18504	11003833	mouse	mouse	perturbation	primary_tissue	UBERON_0003072	E9.5	not_applicable	repression
tri_0876	exp_2421	PAX6	PAX2	5080	5076	18508	18504	11003833	mouse	mouse	reporter	cell_line	CLO_0002597	not_applicable	distal	repression
tri_0883	exp_3394	PAX6	RLBP1	5080	6017	18508	19771	21996446	mouse	mouse	binding	primary_tissue	UBERON_0000956	E14.5	proximal	not_applicable
tri_0883	exp_3396	PAX6	RLBP1	5080	6017	18508	19771	21996446	mouse	mouse	perturbation	primary_tissue	UBERON_0000956	E14.5	not_applicable	activation
tri_0883	exp_3395	PAX6	RLBP1	5080	6017	18508	19771	21996446	mouse	mouse	reporter	cell_line	CLO_0002421	not_applicable	proximal	activation
tri_0878	exp_1057	PAX6	SOST	5080	50964	18508	74499	23529217	mouse	mouse	binding	cell_line	EFO_0005394	not_applicable	proximal	not_applicable
tri_0878	exp_1059	PAX6	SOST	5080	50964	18508	74499	23529217	mouse	mouse	perturbation	cell_line	EFO_0005394	not_applicable	not_applicable	activation
tri_0878	exp_1058	PAX6	SOST	5080	50964	18508	74499	23529217	mouse	mouse	reporter	cell_line	EFO_0005394	not_applicable	proximal	activation
tri_0834	exp_2294	PAX6	ANGPTL7	5080	10218	5080	10218	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0835	exp_2820	PAX6	CDKN1A	5080	1026	18508	12575	17157287	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_0835	exp_2821	PAX6	CDKN1A	5080	1026	18508	12575	17157287	mouse	mouse	perturbation	primary_tissue	UBERON_0001851	E12.5	not_applicable	activation
tri_0835	exp_2822	PAX6	CDKN1A	5080	1026	18508	12575	17157287	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E9.5	not_applicable	activation
tri_0838	exp_2817	PAX6	CDKN1C	5080	1028	18508	12577	17157287	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_0838	exp_2818	PAX6	CDKN1C	5080	1028	18508	12577	17157287	mouse	mouse	perturbation	primary_tissue	UBERON_0001851	E12.5	not_applicable	activation
tri_0838	exp_2819	PAX6	CDKN1C	5080	1028	18508	12577	17157287	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E9.5	not_applicable	activation
tri_0839	exp_2816	PAX6	CDKN2A	5080	1029	18508	12578	17157287	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_0840	exp_2823	PAX6	CDKN2D	5080	1032	18508	12581	17157287	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_0842	exp_3050	PAX6	SPAG5	5080	10615	18508	54141	19132093	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0842	exp_3051	PAX6	SPAG5	5080	10615	18508	54141	19132093	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	activation
tri_0843	exp_2341	PAX6	FMNL2	5080	114793	5080	114793	29090051	human	human	perturbation	primary_cell	CL_0002367	unknown	not_applicable	activation
tri_0843	exp_2340	PAX6	FMNL2	5080	114793	5080	114793	29090051	human	human	reporter	cell_line	CLO_0051650	not_applicable	unknown	activation
tri_0845	exp_2293	PAX6	CLU	5080	1191	5080	1191	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0849	exp_3044	PAX6	VCAN	5080	1462	18508	13003	19132093	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0849	exp_3045	PAX6	VCAN	5080	1462	18508	13003	19132093	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	repression
tri_0850	exp_3789	PAX6	GSX2	5080	170825	18508	14843	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0850	exp_3790	PAX6	GSX2	5080	170825	18508	14843	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_0851	exp_3785	PAX6	EMX2	5080	2018	18508	13797	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0851	exp_3786	PAX6	EMX2	5080	2018	18508	13797	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_0852	exp_3777	PAX6	EPHB1	5080	2047	18508	270190	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0852	exp_3778	PAX6	EPHB1	5080	2047	18508	270190	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_0855	exp_3488	PAX6	TFEC	5080	22797	5080	21426	22792072	human	mouse	perturbation	primary_cell	CL_0002586	E10.5	not_applicable	activation
tri_0855	exp_3482	PAX6	TFEC	5080	22797	18508	21426	22792072	mouse	mouse	binding	primary_cell	CL_0002586	E11.5	proximal	not_applicable
tri_0855	exp_3483	PAX6	TFEC	5080	22797	18508	21426	22792072	mouse	mouse	perturbation	primary_cell	CL_0002586	E10.5	not_applicable	activation
tri_0855	exp_2013	PAX6	TFEC	5080	22797	18508	21426	22792072	mouse	mouse	reporter	cell_line	CLO_0001749	not_applicable	proximal	activation
tri_0856	exp_2299	PAX6	FLG	5080	2312	5080	2312	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_0862	exp_2498	PAX6	INS	5080	3630	18508	16334	12426319	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	unknown	not_applicable
tri_0864	exp_1370	PAX6	ITGA4	5080	3676	5080	3676	15161828	human	human	reporter	primary_cell	CL_0000575	unknown	proximal	activation
tri_0864	exp_1369	PAX6	ITGA4	5080	3676	18508	16401	15161828	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0865	exp_2297	PAX6	IVL	5080	3713	5080	3713	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_0866	exp_2298	PAX6	KRT1	5080	3848	5080	3848	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_0867	exp_2292	PAX6	KRT3	5080	3850	5080	3850	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0868	exp_2296	PAX6	KRT10	5080	3858	5080	3858	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_0873	exp_3775	PAX6	ASCL1	5080	429	18508	17172	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0873	exp_3776	PAX6	ASCL1	5080	429	18508	17172	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_0880	exp_3787	PAX6	FEZF2	5080	55079	18508	54713	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0880	exp_3788	PAX6	FEZF2	5080	55079	18508	54713	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_0885	exp_3781	PAX6	DMRTA1	5080	63951	18508	242523	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0885	exp_3782	PAX6	DMRTA1	5080	63951	18508	242523	26138486	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	activation
tri_0888	exp_1134	PAX6	SLC1A2	5080	6506	18508	20511	26485579	mouse	mouse	binding	primary_tissue	UBERON_0001851	P45	distal	not_applicable
tri_0888	exp_1135	PAX6	SLC1A2	5080	6506	18508	20511	26485579	mouse	mouse	binding	primary_tissue	UBERON_0002037	P45	distal	not_applicable
tri_0888	exp_1136	PAX6	SLC1A2	5080	6506	18508	20511	26485579	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_0888	exp_1138	PAX6	SLC1A2	5080	6506	18508	20511	26485579	mouse	mouse	perturbation	primary_cell	CL_0002605	P1	not_applicable	activation
tri_0890	exp_3971	PAX6	TCF7L2	5080	6934	18508	21416	9784592	mouse	mouse	perturbation	primary_tissue	UBERON_0001894	E11.5	not_applicable	activation
tri_0892	exp_2295	PAX6	TKT	5080	7086	5080	7086	27818314	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_0893	exp_3669	PAX6	TRPM3	5080	80036	18508	226025	24623969	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	unknown	repression
tri_1109	exp_2777	SOX2	LEFTY1	6657	10637	20674	13590	16954384	mouse	mouse	binding	cell_line	EFO_0005914	not_applicable	proximal	not_applicable
tri_1109	exp_2778	SOX2	LEFTY1	6657	10637	20674	13590	16954384	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
