TF_Symbol	TF_Entrez_ID	Species	Lambert	SFARI_Score	SFARI_Syndomic	GO_Neurodev	Neurodev_TF	N_Candidate_Paper
BMP2	650	human	FALSE	0	0	TRUE	TRUE	39
GLI3	2737	human	TRUE	0	0	TRUE	TRUE	39
HDAC4	9759	human	FALSE	3	1	FALSE	TRUE	39
HNF1B	6928	human	TRUE	0	0	TRUE	TRUE	38
KDM6B	23135	human	FALSE	1	0	TRUE	TRUE	38
NCOR1	9611	human	FALSE	2	0	TRUE	TRUE	38
CUX1	1523	human	TRUE	2	0	FALSE	TRUE	37
ESR2	2100	human	TRUE	3	0	TRUE	TRUE	37
NFIA	4774	human	TRUE	3	0	FALSE	TRUE	37
GSK3B	2932	human	FALSE	0	0	TRUE	TRUE	36
NEUROD1	4760	human	TRUE	0	0	TRUE	TRUE	36
IKZF1	10320	human	TRUE	0	0	TRUE	TRUE	35
ID2	3398	human	FALSE	0	0	TRUE	TRUE	34
NF1	4763	human	FALSE	1	0	TRUE	TRUE	34
PAX8	7849	human	TRUE	0	0	TRUE	TRUE	34
NCOA1	8648	human	TRUE	0	0	TRUE	TRUE	33
RORA	6095	human	TRUE	0	0	TRUE	TRUE	33
SIN3A	25942	human	FALSE	1	0	TRUE	TRUE	33
TGFB1	7040	human	FALSE	0	0	TRUE	TRUE	33
EGR2	1959	human	TRUE	0	0	TRUE	TRUE	32
ASCL1	429	human	TRUE	0	0	TRUE	TRUE	31
ZBTB16	7704	human	TRUE	3	0	TRUE	TRUE	31
LOC100862024	100862024	mouse	FALSE	0	0	TRUE	TRUE	30
PAX2	5076	human	TRUE	0	0	TRUE	TRUE	30
BMP4	652	human	FALSE	0	0	TRUE	TRUE	29
BRD4	23476	human	FALSE	3	0	FALSE	TRUE	29
DLX5	1749	human	TRUE	0	0	TRUE	TRUE	29
MEN1	4221	human	FALSE	0	0	TRUE	TRUE	29
OTX2	5015	human	TRUE	0	0	TRUE	TRUE	29
PROX1	5629	human	TRUE	0	0	TRUE	TRUE	29
NR2F1	7025	human	TRUE	3	1	TRUE	TRUE	28
SOX4	6659	human	TRUE	0	0	TRUE	TRUE	28
ID1	3397	human	FALSE	0	0	TRUE	TRUE	27
MTF1	4520	human	TRUE	3	0	TRUE	TRUE	27
NR0B1	190	human	TRUE	0	0	TRUE	TRUE	27
NR4A2	4929	human	TRUE	1	0	TRUE	TRUE	27
TFAP2C	7022	human	TRUE	0	0	TRUE	TRUE	27
KMT2A	4297	human	TRUE	1	0	FALSE	TRUE	26
MED1	5469	human	FALSE	0	0	TRUE	TRUE	26
PER1	5187	human	FALSE	3	0	FALSE	TRUE	24
ZEB2	9839	human	TRUE	0	0	TRUE	TRUE	24
BRCA2	675	human	FALSE	3	0	TRUE	TRUE	23
GTF2I	2969	human	TRUE	3	0	FALSE	TRUE	23
ISL1	3670	human	TRUE	0	0	TRUE	TRUE	23
KDM1A	23028	human	FALSE	0	0	TRUE	TRUE	23
NCOR2	9612	human	FALSE	0	0	TRUE	TRUE	23
NOTCH3	4854	human	FALSE	0	0	TRUE	TRUE	23
RARB	5915	human	TRUE	0	0	TRUE	TRUE	23
LDB1	8861	human	FALSE	0	0	TRUE	TRUE	22
MBD1	4152	human	TRUE	3	0	FALSE	TRUE	22
MSX1	4487	human	TRUE	0	0	TRUE	TRUE	22
Sf1	22668	mouse	FALSE	0	0	TRUE	TRUE	22
LHX3	8022	human	TRUE	0	0	TRUE	TRUE	21
NR1D1	9572	human	TRUE	3	0	FALSE	TRUE	21
PER2	8864	human	FALSE	2	0	FALSE	TRUE	21
NEUROG2	63973	human	TRUE	0	0	TRUE	TRUE	20
OLIG2	10215	human	TRUE	0	0	TRUE	TRUE	20
RAD21	5885	human	FALSE	0	1	FALSE	TRUE	20
TBX2	6909	human	TRUE	0	0	TRUE	TRUE	20
ZNF148	7707	human	TRUE	0	0	TRUE	TRUE	20
KAT2B	8850	human	FALSE	2	0	FALSE	TRUE	19
SIX3	6496	human	TRUE	0	0	TRUE	TRUE	19
XRCC6	2547	human	FALSE	0	0	TRUE	TRUE	19
EED	8726	human	FALSE	0	0	TRUE	TRUE	18
ID3	3399	human	FALSE	0	0	TRUE	TRUE	18
IFNG	3458	human	FALSE	0	0	TRUE	TRUE	18
PAX7	5081	human	TRUE	0	0	TRUE	TRUE	18
PITX1	5307	human	TRUE	3	0	TRUE	TRUE	18
SIX1	6495	human	TRUE	0	0	TRUE	TRUE	18
FOXC1	2296	human	TRUE	0	0	TRUE	TRUE	17
LHX2	9355	human	TRUE	0	0	TRUE	TRUE	17
NKX2-2	4821	human	TRUE	0	0	TRUE	TRUE	17
SOX11	6664	human	TRUE	0	0	TRUE	TRUE	17
SOX5	6660	human	TRUE	1	0	TRUE	TRUE	17
BCL11A	53335	human	TRUE	1	0	FALSE	TRUE	16
EOMES	8320	human	TRUE	0	0	TRUE	TRUE	16
GSC	145258	human	TRUE	0	0	TRUE	TRUE	16
HHEX	3087	human	TRUE	0	0	TRUE	TRUE	16
LMX1B	4010	human	TRUE	2	0	TRUE	TRUE	16
NFIB	4781	human	TRUE	3	1	TRUE	TRUE	16
SETDB1	9869	human	TRUE	3	0	FALSE	TRUE	16
TBX3	6926	human	TRUE	0	0	TRUE	TRUE	16
ATOH1	474	human	TRUE	0	0	TRUE	TRUE	15
FOXP1	27086	human	TRUE	1	0	FALSE	TRUE	15
MAFB	9935	human	TRUE	0	0	TRUE	TRUE	15
NEUROG3	50674	human	TRUE	0	0	TRUE	TRUE	15
PHOX2B	8929	human	TRUE	0	0	TRUE	TRUE	15
WNT3A	89780	human	FALSE	0	0	TRUE	TRUE	15
DLX3	1747	human	TRUE	2	0	FALSE	TRUE	14
ESRRB	2103	human	TRUE	3	0	FALSE	TRUE	14
POU3F2	5454	human	TRUE	0	0	TRUE	TRUE	14
TAF1	6872	human	FALSE	0	0	TRUE	TRUE	14
ZIC2	7546	human	TRUE	0	0	TRUE	TRUE	14
ABL1	25	human	FALSE	0	0	TRUE	TRUE	13
BTG2	7832	human	FALSE	0	0	TRUE	TRUE	13
FMR1	2332	human	FALSE	1	0	TRUE	TRUE	13
FOXP2	93986	human	TRUE	2	0	TRUE	TRUE	13
MAPK1	5594	human	FALSE	0	0	TRUE	TRUE	13
MECOM	2122	human	TRUE	0	0	TRUE	TRUE	13
NFIX	4784	human	TRUE	0	0	TRUE	TRUE	13
PBX1	100131938	human	FALSE	3	0	FALSE	TRUE	13
PHOX2A	401	human	TRUE	0	0	TRUE	TRUE	13
SATB2	23314	human	TRUE	3	1	TRUE	TRUE	13
SKI	6497	human	TRUE	0	0	TRUE	TRUE	13
SOX6	55553	human	FALSE	0	0	TRUE	TRUE	13
SOX8	30812	human	TRUE	0	0	TRUE	TRUE	13
BCL11B	64919	human	TRUE	0	0	TRUE	TRUE	12
CITED2	10370	human	FALSE	0	0	TRUE	TRUE	12
COMMD3-BMI1	100532731	human	FALSE	0	0	TRUE	TRUE	12
KDM5B	10765	human	TRUE	2	0	FALSE	TRUE	12
LMO4	8543	human	FALSE	0	0	TRUE	TRUE	12
MEIS2	4212	human	TRUE	1	0	FALSE	TRUE	12
MRTFA	57591	human	FALSE	0	0	TRUE	TRUE	12
NR2E1	7101	human	TRUE	0	0	TRUE	TRUE	12
NR3C2	4306	human	TRUE	2	1	FALSE	TRUE	12
POU4F1	5457	human	TRUE	0	0	TRUE	TRUE	12
ATF5	22809	human	FALSE	0	0	TRUE	TRUE	11
DLX2	1746	human	TRUE	3	0	TRUE	TRUE	11
Esrra	26379	mouse	FALSE	0	0	TRUE	TRUE	11
HOXA1	3198	human	TRUE	0	0	TRUE	TRUE	11
JARID2	3720	human	FALSE	2	0	TRUE	TRUE	11
KDM4B	23030	human	FALSE	3	0	FALSE	TRUE	11
NPAS2	4862	human	TRUE	3	0	TRUE	TRUE	11
PTF1A	256297	human	TRUE	0	0	TRUE	TRUE	11
SOX3	6658	human	TRUE	0	0	TRUE	TRUE	11
TBX1	6899	human	TRUE	0	0	TRUE	TRUE	11
TLX1	3195	human	TRUE	0	0	TRUE	TRUE	11
XRCC5	7520	human	FALSE	0	0	TRUE	TRUE	11
EN1	2019	human	TRUE	0	0	TRUE	TRUE	10
FOXG1	2290	human	TRUE	1	0	TRUE	TRUE	10
GRIP1	23426	human	FALSE	2	0	FALSE	TRUE	10
NKX6-1	4825	human	TRUE	0	0	TRUE	TRUE	10
NR2C2	7182	human	TRUE	0	0	TRUE	TRUE	10
NR4A3	8013	human	TRUE	0	0	TRUE	TRUE	10
TBX20	57057	human	TRUE	0	0	TRUE	TRUE	10
THRA	7067	human	TRUE	3	0	TRUE	TRUE	10
WNT1	7471	human	FALSE	3	0	TRUE	TRUE	10
ARID1A	8289	human	FALSE	0	0	TRUE	TRUE	9
EZH1	2145	human	FALSE	0	0	TRUE	TRUE	9
MBD3	53615	human	TRUE	3	0	TRUE	TRUE	9
NCOA6	23054	human	FALSE	0	0	TRUE	TRUE	9
SND1	27044	human	FALSE	3	0	FALSE	TRUE	9
TRRAP	8295	human	FALSE	3	1	FALSE	TRUE	9
ZIC1	7545	human	TRUE	0	0	TRUE	TRUE	9
ARX	170302	human	TRUE	1	0	TRUE	TRUE	8
CIC	23152	human	TRUE	1	0	TRUE	TRUE	8
HDAC11	79885	human	FALSE	0	0	TRUE	TRUE	8
HOXB1	3211	human	TRUE	0	0	TRUE	TRUE	8
MAL	4118	human	FALSE	0	0	TRUE	TRUE	8
NIPBL	25836	human	FALSE	1	0	TRUE	TRUE	8
TBR1	10716	human	TRUE	1	0	TRUE	TRUE	8
GCM1	8521	human	TRUE	0	0	TRUE	TRUE	7
Hmga2	15364	mouse	FALSE	0	0	TRUE	TRUE	7
HOXA2	3199	human	TRUE	0	0	TRUE	TRUE	7
KAT2A	2648	human	FALSE	0	0	TRUE	TRUE	7
LHX4	89884	human	TRUE	0	0	TRUE	TRUE	7
PITX3	5309	human	TRUE	0	0	TRUE	TRUE	7
Sry	21674	mouse	FALSE	0	0	TRUE	TRUE	7
SUFU	51684	human	FALSE	0	0	TRUE	TRUE	7
TET2	54790	human	TRUE	2	0	FALSE	TRUE	7
WNT5A	7474	human	FALSE	0	0	TRUE	TRUE	7
ATRX	546	human	FALSE	1	0	TRUE	TRUE	6
DLX1	1745	human	TRUE	0	0	TRUE	TRUE	6
EHMT1	79813	human	FALSE	1	0	FALSE	TRUE	6
ERCC2	2068	human	FALSE	0	0	TRUE	TRUE	6
Foxp1	108655	mouse	FALSE	0	0	TRUE	TRUE	6
GBX2	2637	human	TRUE	0	0	TRUE	TRUE	6
HES5	388585	human	TRUE	0	0	TRUE	TRUE	6
HESX1	8820	human	TRUE	0	0	TRUE	TRUE	6
HMGN1	3150	human	FALSE	2	0	FALSE	TRUE	6
ID4	3400	human	FALSE	0	0	TRUE	TRUE	6
LHX1	3975	human	TRUE	0	0	TRUE	TRUE	6
MBD4	8930	human	TRUE	3	0	FALSE	TRUE	6
MNT	4335	human	TRUE	3	0	FALSE	TRUE	6
Pou3f1	18991	mouse	FALSE	0	0	TRUE	TRUE	6
RFX3	5991	human	TRUE	1	0	FALSE	TRUE	6
SOX1	6656	human	TRUE	0	0	TRUE	TRUE	6
SSRP1	6749	human	FALSE	3	0	FALSE	TRUE	6
TERF2	7014	human	TRUE	2	0	FALSE	TRUE	6
TLX3	30012	human	TRUE	0	0	TRUE	TRUE	6
ZBTB20	26137	human	TRUE	1	0	FALSE	TRUE	6
APBB1	322	human	FALSE	2	0	FALSE	TRUE	5
CHD1	1105	human	FALSE	3	1	FALSE	TRUE	5
CHD7	55636	human	FALSE	1	0	TRUE	TRUE	5
CHD8	57680	human	FALSE	1	0	TRUE	TRUE	5
CUX2	23316	human	TRUE	3	1	FALSE	TRUE	5
DEAF1	10522	human	TRUE	2	1	FALSE	TRUE	5
FEZF2	55079	human	TRUE	3	0	TRUE	TRUE	5
FOXJ1	2302	human	TRUE	0	0	TRUE	TRUE	5
GRHL2	79977	human	TRUE	0	0	TRUE	TRUE	5
GRHL3	57822	human	TRUE	0	0	TRUE	TRUE	5
HOXC10	3226	human	TRUE	0	0	TRUE	TRUE	5
KDM2B	84678	human	FALSE	0	0	TRUE	TRUE	5
KDM4C	23081	human	FALSE	2	0	FALSE	TRUE	5
NDN	4692	human	FALSE	0	0	TRUE	TRUE	5
NHLH2	4808	human	TRUE	0	0	TRUE	TRUE	5
PHF8	23133	human	FALSE	0	0	TRUE	TRUE	5
POU3F1	5453	human	TRUE	0	0	TRUE	TRUE	5
POU3F3	5455	human	TRUE	0	1	TRUE	TRUE	5
POU3F4	5456	human	TRUE	0	0	TRUE	TRUE	5
PROP1	5626	human	TRUE	0	0	TRUE	TRUE	5
PYGO2	90780	human	FALSE	0	0	TRUE	TRUE	5
SIRT2	22933	human	FALSE	0	0	TRUE	TRUE	5
SRSF1	6426	human	FALSE	0	0	TRUE	TRUE	5
ZFHX3	463	human	TRUE	0	0	TRUE	TRUE	5
BTAF1	9044	human	FALSE	2	0	FALSE	TRUE	4
CHD3	1107	human	FALSE	1	0	FALSE	TRUE	4
GRIN1	2902	human	FALSE	2	0	TRUE	TRUE	4
HNRNPK	3190	human	FALSE	0	0	TRUE	TRUE	4
HOXB2	3212	human	TRUE	0	0	TRUE	TRUE	4
HOXD10	3236	human	TRUE	0	0	TRUE	TRUE	4
ILF2	3608	human	FALSE	2	0	FALSE	TRUE	4
KMT2C	58508	human	FALSE	1	0	FALSE	TRUE	4
MAPK3	5595	human	FALSE	3	0	TRUE	TRUE	4
NEUROD2	4761	human	TRUE	0	0	TRUE	TRUE	4
SETBP1	26040	human	TRUE	1	0	FALSE	TRUE	4
SHOX	6473	human	TRUE	2	0	FALSE	TRUE	4
SRCAP	10847	human	TRUE	1	0	FALSE	TRUE	4
SYT1	6857	human	FALSE	0	0	TRUE	TRUE	4
TBL1XR1	79718	human	FALSE	2	0	FALSE	TRUE	4
TRIM33	51592	human	FALSE	3	0	FALSE	TRUE	4
WWP1	11059	human	FALSE	0	0	TRUE	TRUE	4
BPTF	2186	human	TRUE	0	0	TRUE	TRUE	3
CHD5	26038	human	FALSE	0	0	TRUE	TRUE	3
DDX3X	1654	human	FALSE	1	0	FALSE	TRUE	3
DLX6	1750	human	TRUE	3	0	FALSE	TRUE	3
EMX2	2018	human	TRUE	0	0	TRUE	TRUE	3
EN2	2020	human	TRUE	3	0	TRUE	TRUE	3
EPOR	2057	human	FALSE	0	0	TRUE	TRUE	3
Ewsr1	14030	mouse	FALSE	0	0	TRUE	TRUE	3
FOXN4	121643	human	TRUE	0	0	TRUE	TRUE	3
Foxp2	114142	mouse	FALSE	0	0	TRUE	TRUE	3
HNRNPD	3184	human	FALSE	0	0	TRUE	TRUE	3
IFNGR1	3459	human	FALSE	0	0	TRUE	TRUE	3
KAT6A	7994	human	FALSE	2	1	FALSE	TRUE	3
LEO1	123169	human	FALSE	2	0	FALSE	TRUE	3
LMX1A	4009	human	TRUE	0	0	TRUE	TRUE	3
NEUROD6	63974	human	TRUE	0	0	TRUE	TRUE	3
NFE2L1	4779	human	TRUE	0	0	TRUE	TRUE	3
RAX	30062	human	TRUE	0	0	TRUE	TRUE	3
SALL1	6299	human	TRUE	0	0	TRUE	TRUE	3
SALL3	27164	human	TRUE	0	0	TRUE	TRUE	3
SMARCA1	6594	human	FALSE	0	0	TRUE	TRUE	3
SMARCC2	6601	human	FALSE	1	0	TRUE	TRUE	3
SMURF1	57154	human	FALSE	3	0	FALSE	TRUE	3
SOX12	6666	human	TRUE	0	0	TRUE	TRUE	3
SPEN	23013	human	TRUE	2	0	FALSE	TRUE	3
TOP2B	7155	human	FALSE	0	0	TRUE	TRUE	3
Ttf1	22130	mouse	FALSE	0	0	TRUE	TRUE	3
ZIC3	7547	human	TRUE	0	0	TRUE	TRUE	3
ACTB	60	human	FALSE	0	0	TRUE	TRUE	2
AKNA	80709	human	TRUE	0	0	TRUE	TRUE	2
ARHGAP35	2909	human	TRUE	0	0	TRUE	TRUE	2
ARID1B	57492	human	FALSE	1	0	FALSE	TRUE	2
ASH1L	55870	human	FALSE	1	0	FALSE	TRUE	2
CASZ1	54897	human	TRUE	2	0	FALSE	TRUE	2
CC2D1A	54862	human	TRUE	2	0	FALSE	TRUE	2
CNOT3	4849	human	FALSE	1	0	FALSE	TRUE	2
CSNK2A1	1457	human	FALSE	0	0	TRUE	TRUE	2
DST	667	human	FALSE	3	0	FALSE	TRUE	2
Elf5	13711	mouse	FALSE	0	0	TRUE	TRUE	2
ELP3	55140	human	FALSE	0	0	TRUE	TRUE	2
EVX1	2128	human	TRUE	0	0	TRUE	TRUE	2
FEZF1	389549	human	TRUE	0	0	TRUE	TRUE	2
Fus	233908	mouse	FALSE	0	0	TRUE	TRUE	2
HDAC10	83933	human	FALSE	0	0	TRUE	TRUE	2
HOXB3	3213	human	TRUE	0	0	TRUE	TRUE	2
JMJD1C	221037	human	FALSE	3	0	FALSE	TRUE	2
Klf16	118445	mouse	FALSE	0	0	TRUE	TRUE	2
LBX1	10660	human	TRUE	0	0	TRUE	TRUE	2
LHX6	26468	human	TRUE	0	0	TRUE	TRUE	2
MCM6	4175	human	FALSE	3	0	FALSE	TRUE	2
Ncoa6	56406	mouse	FALSE	0	0	TRUE	TRUE	2
NFE2L3	9603	human	TRUE	2	0	FALSE	TRUE	2
OLIG1	116448	human	TRUE	0	0	TRUE	TRUE	2
OTX1	5013	human	TRUE	3	0	TRUE	TRUE	2
PBX3	5090	human	TRUE	0	0	TRUE	TRUE	2
RALA	5898	human	FALSE	0	1	FALSE	TRUE	2
SETDB2	83852	human	TRUE	3	0	FALSE	TRUE	2
SMAD9	4093	human	TRUE	0	0	TRUE	TRUE	2
TBL1X	6907	human	FALSE	3	0	FALSE	TRUE	2
TCF20	6942	human	TRUE	1	0	FALSE	TRUE	2
TFAP2D	83741	human	TRUE	0	0	TRUE	TRUE	2
TSHZ3	57616	human	TRUE	1	0	FALSE	TRUE	2
VAX2	25806	human	TRUE	0	0	TRUE	TRUE	2
ZBTB18	10472	human	TRUE	0	0	TRUE	TRUE	2
ZMYND11	10771	human	FALSE	2	0	FALSE	TRUE	2
ZNF488	118738	human	TRUE	0	0	TRUE	TRUE	2
AGT	183	human	FALSE	0	0	TRUE	TRUE	1
ARID2	196528	human	TRUE	3	1	FALSE	TRUE	1
BARHL1	56751	human	TRUE	0	0	TRUE	TRUE	1
BMP7	655	human	FALSE	0	0	TRUE	TRUE	1
BSX	390259	human	TRUE	0	0	TRUE	TRUE	1
CSF1R	1436	human	FALSE	0	0	TRUE	TRUE	1
DBX1	120237	human	TRUE	0	0	TRUE	TRUE	1
DMBX1	127343	human	TRUE	0	0	TRUE	TRUE	1
EBF3	253738	human	TRUE	1	0	FALSE	TRUE	1
EFNA2	1943	human	FALSE	0	0	TRUE	TRUE	1
EPHB1	2047	human	FALSE	0	0	TRUE	TRUE	1
GBX1	2636	human	TRUE	0	0	TRUE	TRUE	1
GLIS1	148979	human	TRUE	3	0	FALSE	TRUE	1
GLIS2	84662	human	TRUE	0	0	TRUE	TRUE	1
GSX2	170825	human	TRUE	0	0	TRUE	TRUE	1
HELT	391723	human	TRUE	0	0	TRUE	TRUE	1
Hmgb1	15289	mouse	FALSE	0	0	TRUE	TRUE	1
Hmgn3	94353	mouse	FALSE	0	0	TRUE	TRUE	1
HMX2	3167	human	TRUE	0	0	TRUE	TRUE	1
HMX3	340784	human	TRUE	0	0	TRUE	TRUE	1
Hnrnpa1	15382	mouse	FALSE	0	0	TRUE	TRUE	1
HOXB8	3218	human	TRUE	0	0	TRUE	TRUE	1
IRF2BPL	64207	human	FALSE	1	0	FALSE	TRUE	1
Irx5	54352	mouse	FALSE	0	0	TRUE	TRUE	1
ISL2	64843	human	TRUE	0	0	TRUE	TRUE	1
KLF16	83855	human	TRUE	3	0	FALSE	TRUE	1
LHX8	431707	human	TRUE	0	0	TRUE	TRUE	1
Map3k7	26409	mouse	FALSE	0	0	TRUE	TRUE	1
MNX1	3110	human	TRUE	0	0	TRUE	TRUE	1
MYRF	745	human	TRUE	0	0	TRUE	TRUE	1
NHLH1	4807	human	TRUE	0	0	TRUE	TRUE	1
NPAS1	4861	human	TRUE	0	0	TRUE	TRUE	1
PHF2	5253	human	FALSE	2	0	FALSE	TRUE	1
POU6F2	11281	human	TRUE	0	0	TRUE	TRUE	1
PRDM8	56978	human	TRUE	0	0	TRUE	TRUE	1
Rbfox3	52897	mouse	FALSE	0	0	TRUE	TRUE	1
RERE	473	human	FALSE	1	0	TRUE	TRUE	1
RFX4	5992	human	TRUE	0	0	TRUE	TRUE	1
Rfx5	53970	mouse	FALSE	0	0	TRUE	TRUE	1
SMG6	23293	human	FALSE	3	0	FALSE	TRUE	1
SMO	6608	human	FALSE	0	0	TRUE	TRUE	1
TBX19	9095	human	TRUE	0	0	TRUE	TRUE	1
UNCX	340260	human	TRUE	0	0	TRUE	TRUE	1
YWHAE	7531	human	FALSE	3	0	TRUE	TRUE	1
ZNF335	63925	human	TRUE	0	0	TRUE	TRUE	1
ADNP	23394	human	TRUE	1	0	FALSE	TRUE	0
AHDC1	27245	human	TRUE	1	0	FALSE	TRUE	0
BAZ2B	29994	human	TRUE	1	0	FALSE	TRUE	0
BHLHE22	27319	human	TRUE	0	0	TRUE	TRUE	0
DMRT3	58524	human	TRUE	0	0	TRUE	TRUE	0
DMRTA2	63950	human	TRUE	0	0	TRUE	TRUE	0
DRGX	644168	human	TRUE	0	0	TRUE	TRUE	0
EMX1	2016	human	TRUE	0	0	TRUE	TRUE	0
FOXB1	27023	human	TRUE	0	0	TRUE	TRUE	0
GSX1	219409	human	TRUE	0	0	TRUE	TRUE	0
HES3	390992	human	TRUE	0	0	TRUE	TRUE	0
HIVEP3	59269	human	TRUE	2	0	FALSE	TRUE	0
JRKL	8690	human	TRUE	0	0	TRUE	TRUE	0
LHX5	64211	human	TRUE	0	0	TRUE	TRUE	0
MBD6	114785	human	TRUE	3	0	FALSE	TRUE	0
MYT1L	23040	human	TRUE	1	0	FALSE	TRUE	0
NKX2-6	137814	human	TRUE	0	0	TRUE	TRUE	0
NKX6-2	84504	human	TRUE	0	0	TRUE	TRUE	0
NOTO	344022	human	TRUE	0	0	TRUE	TRUE	0
OLIG3	167826	human	TRUE	0	0	TRUE	TRUE	0
OTP	23440	human	TRUE	0	0	TRUE	TRUE	0
PHF21A	51317	human	TRUE	1	0	FALSE	TRUE	0
POU6F1	5463	human	TRUE	0	0	TRUE	TRUE	0
PRR12	57479	human	TRUE	0	1	FALSE	TRUE	0
RFX8	731220	human	TRUE	0	0	TRUE	TRUE	0
RHOXF1	158800	human	TRUE	3	0	FALSE	TRUE	0
SKOR2	652991	human	TRUE	0	0	TRUE	TRUE	0
TAL2	6887	human	TRUE	0	0	TRUE	TRUE	0
VAX1	11023	human	TRUE	0	0	TRUE	TRUE	0
ZIC4	84107	human	TRUE	0	0	TRUE	TRUE	0
ZIC5	85416	human	TRUE	0	0	TRUE	TRUE	0
ZNF18	7566	human	TRUE	3	0	FALSE	TRUE	0
ZNF292	23036	human	TRUE	1	0	FALSE	TRUE	0
ZNF365	22891	human	TRUE	0	0	TRUE	TRUE	0
ZNF385B	151126	human	TRUE	3	0	FALSE	TRUE	0
ZNF430	80264	human	TRUE	0	0	TRUE	TRUE	0
ZNF462	58499	human	TRUE	1	0	FALSE	TRUE	0
ZNF517	340385	human	TRUE	3	0	FALSE	TRUE	0
ZNF548	147694	human	TRUE	3	0	FALSE	TRUE	0
ZNF559	84527	human	TRUE	3	0	FALSE	TRUE	0
ZNF626	199777	human	TRUE	3	0	FALSE	TRUE	0
ZNF713	349075	human	TRUE	3	0	FALSE	TRUE	0
ZNF774	342132	human	TRUE	3	0	FALSE	TRUE	0
ZNF804A	91752	human	TRUE	2	0	FALSE	TRUE	0
ZNF827	152485	human	TRUE	3	0	FALSE	TRUE	0
