DTRI_ID	Experiment_ID	TF_Symbol_Human	Target_Symbol_Human	Experiment_Type	Method	TF_Source_Type
tri_23116	exp_3482	PAX6	TFEC	binding	chip	not_applicable
tri_23118	exp_2498	PAX6	INS	binding	chip	not_applicable
tri_23119	exp_1369	PAX6	ITGA4	binding	emsa	cell_line
tri_23124	exp_3775	PAX6	ASCL1	binding	chip	not_applicable
tri_23125	exp_3787	PAX6	FEZF2	binding	chip	not_applicable
tri_23126	exp_3781	PAX6	DMRTA1	binding	chip	not_applicable
tri_23127	exp_1134	PAX6	SLC1A2	binding	chip	not_applicable
tri_23127	exp_1135	PAX6	SLC1A2	binding	chip	not_applicable
tri_23127	exp_1136	PAX6	SLC1A2	binding	emsa	primary_tissue
tri_01334	exp_2777	SOX2	LEFTY1	binding	chip	not_applicable
tri_01334	exp_2778	SOX2	LEFTY1	binding	emsa	cell_line
tri_01621	exp_2695	SOX2	NANOG	binding	chip	not_applicable
tri_01621	exp_2693	SOX2	NANOG	binding	chip	not_applicable
tri_01621	exp_3632	SOX2	NANOG	binding	chip	not_applicable
tri_01639	exp_0056	SOX2	SOX2	binding	chip	not_applicable
tri_01639	exp_0058	SOX2	SOX2	binding	chip	not_applicable
tri_07740	exp_3674	SOX2	TP63	binding	chip	not_applicable
tri_10165	exp_3631	SOX2	FGF4	binding	chip	not_applicable
tri_10165	exp_0590	SOX2	FGF4	binding	emsa	cell_line
tri_10165	exp_0588	SOX2	FGF4	binding	emsa	cell_line
tri_10167	exp_0042	SOX2	POU5F1	binding	chip	not_applicable
tri_10167	exp_0838	SOX2	POU5F1	binding	chip	not_applicable
tri_10167	exp_0048	SOX2	POU5F1	binding	chip	not_applicable
tri_10167	exp_0044	SOX2	POU5F1	binding	emsa	cell_line
tri_10167	exp_2663	SOX2	POU5F1	binding	emsa	cell_line
tri_10170	exp_2396	SOX2	UTF1	binding	emsa	cell_line
tri_11445	exp_1532	SOX2	CCND1	binding	chip	not_applicable
tri_11445	exp_1113	SOX2	CCND1	binding	chip	not_applicable
tri_11445	exp_1114	SOX2	CCND1	binding	emsa	unknown
tri_11446	exp_2807	SOX2	PAX6	binding	emsa	unknown
tri_11448	exp_0787	SOX2	ZSCAN10	binding	chip	not_applicable
tri_21549	exp_0987	SOX2	ATOH1	binding	chip	not_applicable
tri_21550	exp_1036	SOX2	BIRC5	binding	chip	not_applicable
tri_21551	exp_1024	SOX2	CDKN1B	binding	chip	not_applicable
tri_21552	exp_3158	SOX2	EGFR	binding	chip	not_applicable
tri_21553	exp_3340	SOX2	GLI3	binding	chip	not_applicable
tri_21553	exp_3333	SOX2	GLI3	binding	chip	not_applicable
tri_21554	exp_3338	SOX2	JAG1	binding	chip	not_applicable
tri_21554	exp_3331	SOX2	JAG1	binding	chip	not_applicable
tri_21556	exp_3341	SOX2	MYCN	binding	chip	not_applicable
tri_21556	exp_3334	SOX2	MYCN	binding	chip	not_applicable
tri_21557	exp_3758	SOX2	NEUROD1	binding	chip	not_applicable
tri_21559	exp_3594	SOX2	NKX2-1	binding	chip	not_applicable
tri_21560	exp_1243	SOX2	NR2E1	binding	chip	not_applicable
tri_21562	exp_0899	SOX2	SHH	binding	chip	not_applicable
tri_21562	exp_0900	SOX2	SHH	binding	emsa	cell_line
tri_21563	exp_3624	SOX2	SIX3	binding	chip	not_applicable
tri_21563	exp_3625	SOX2	SIX3	binding	emsa	cell_line
tri_23251	exp_3760	SOX2	SOX21	binding	chip	not_applicable
tri_23252	exp_3537	SOX2	NR0B1	binding	emsa	cell_line
tri_23254	exp_3676	SOX2	GATA6	binding	chip	not_applicable
tri_23256	exp_3339	SOX2	GLI2	binding	chip	not_applicable
tri_23256	exp_3332	SOX2	GLI2	binding	chip	not_applicable
tri_23257	exp_3343	SOX2	RBPJ	binding	chip	not_applicable
tri_23257	exp_3336	SOX2	RBPJ	binding	chip	not_applicable
tri_23258	exp_3342	SOX2	HES5	binding	chip	not_applicable
tri_23258	exp_3335	SOX2	HES5	binding	chip	not_applicable
tri_23259	exp_0867	SOX2	MIR302A	binding	chip	not_applicable
tri_23259	exp_0868	SOX2	MIR302A	binding	emsa	cell_line
tri_23260	exp_3764	SOX2	GADD45B	binding	chip	not_applicable
tri_23261	exp_2226	SOX2	TRIM33	binding	chip	not_applicable
tri_23262	exp_3762	SOX2	BDNF	binding	chip	not_applicable
tri_23263	exp_3756	SOX2	NEUROG2	binding	chip	not_applicable
tri_23264	exp_3344	SOX2	TULP3	binding	chip	not_applicable
tri_23264	exp_3337	SOX2	TULP3	binding	chip	not_applicable
tri_23265	exp_2103	SOX2	TWIST1	binding	chip	not_applicable
tri_00609	exp_0266	RUNX1	PF4V1	binding	chip	not_applicable
tri_00729	exp_0790	RUNX1	IL2	binding	chip	not_applicable
tri_00729	exp_0791	RUNX1	IL2	binding	chip	not_applicable
tri_00729	exp_0792	RUNX1	IL2	binding	emsa	cell_line
tri_00992	exp_0091	RUNX1	IFNG	binding	chip	not_applicable
tri_00992	exp_0800	RUNX1	IFNG	binding	chip	not_applicable
tri_01616	exp_0824	RUNX1	SPI1	binding	chip	not_applicable
tri_01616	exp_3636	RUNX1	SPI1	binding	chip	not_applicable
tri_01616	exp_3637	RUNX1	SPI1	binding	chip	not_applicable
tri_01616	exp_0825	RUNX1	SPI1	binding	emsa	primary_cell
tri_01684	exp_0992	RUNX1	CEBPA	binding	chip	not_applicable
tri_01684	exp_0999	RUNX1	CEBPA	binding	emsa	cell_line
tri_01684	exp_0993	RUNX1	CEBPA	binding	emsa	cell_line
tri_16429	exp_0236	RUNX1	ALOX12	binding	chip	not_applicable
tri_16429	exp_0237	RUNX1	ALOX12	binding	emsa	cell_line
tri_16436	exp_2712	RUNX1	CSF1R	binding	emsa	primary_cell
tri_16436	exp_2711	RUNX1	CSF1R	binding	emsa	primary_cell
tri_16446	exp_0381	RUNX1	MIR27A	binding	chip	not_applicable
tri_16446	exp_0382	RUNX1	MIR27A	binding	chip	not_applicable
tri_16446	exp_0383	RUNX1	MIR27A	binding	emsa	cell_line
tri_16446	exp_0384	RUNX1	MIR27A	binding	emsa	cell_line
tri_16447	exp_0153	RUNX1	MPL	binding	chip	not_applicable
tri_16447	exp_0155	RUNX1	MPL	binding	emsa	unknown
tri_16447	exp_0154	RUNX1	MPL	binding	emsa	cell_line
tri_16450	exp_2020	RUNX1	MYL9	binding	chip	not_applicable
tri_16454	exp_0261	RUNX1	PF4	binding	chip	not_applicable
tri_16454	exp_0262	RUNX1	PF4	binding	emsa	cell_line
tri_16456	exp_0273	RUNX1	PRKCQ	binding	chip	not_applicable
tri_16456	exp_0274	RUNX1	PRKCQ	binding	emsa	cell_line
tri_21203	exp_3329	RUNX1	C16orf54	binding	chip	not_applicable
tri_21207	exp_3374	RUNX1	CDKN2A	binding	chip	not_applicable
tri_21208	exp_2675	RUNX1	IGFBP3	binding	emsa	primary_tissue
tri_21211	exp_3072	RUNX1	SLC22A17	binding	chip	not_applicable
tri_21211	exp_3071	RUNX1	SLC22A17	binding	chip	not_applicable
tri_21212	exp_1860	RUNX1	SMAD6	binding	chip	not_applicable
tri_21212	exp_1861	RUNX1	SMAD6	binding	chip	not_applicable
tri_21212	exp_1862	RUNX1	SMAD6	binding	chip	not_applicable
tri_21212	exp_1863	RUNX1	SMAD6	binding	chip	not_applicable
tri_21212	exp_1864	RUNX1	SMAD6	binding	chip	not_applicable
tri_23406	exp_2186	RUNX1	OCLN	binding	chip	not_applicable
tri_23407	exp_3518	RUNX1	SOCS4	binding	chip	not_applicable
tri_23408	exp_0796	RUNX1	CTLA4	binding	chip	not_applicable
tri_23409	exp_2276	RUNX1	EYA4	binding	chip	not_applicable
tri_23413	exp_0794	RUNX1	IL2RA	binding	chip	not_applicable
tri_23415	exp_2230	RUNX1	LIFR	binding	chip	not_applicable
tri_23416	exp_2022	RUNX1	MYH9	binding	chip	not_applicable
tri_23417	exp_0240	RUNX1	NFE2	binding	chip	not_applicable
tri_23417	exp_0241	RUNX1	NFE2	binding	emsa	cell_line
tri_23418	exp_1911	RUNX1	SERPINB13	binding	chip	not_applicable
tri_23419	exp_1413	RUNX1	CELA2A	binding	chip	not_applicable
tri_23420	exp_2398	RUNX1	BLK	binding	emsa	cell_line
tri_23421	exp_2184	RUNX1	TJP1	binding	chip	not_applicable
tri_23422	exp_2188	RUNX1	CLDN5	binding	chip	not_applicable
tri_23424	exp_3850	RUNX1	RSPO3	binding	emsa	cell_line
tri_23425	exp_0798	RUNX1	TNFRSF18	binding	chip	not_applicable
tri_23426	exp_3516	RUNX1	SOCS3	binding	chip	not_applicable
tri_00029	exp_0255	CREB1	IFNG	binding	chip	not_applicable
tri_00029	exp_0256	CREB1	IFNG	binding	emsa	primary_cell
tri_01842	exp_1727	CREB1	HCRTR2	binding	chip	not_applicable
tri_04661	exp_2928	CREB1	FOS	binding	chip	not_applicable
tri_07963	exp_1060	CREB1	HSPA1A	binding	chip	not_applicable
tri_07963	exp_1060	CREB1	HSPA1B	binding	chip	not_applicable
tri_07963	exp_1061	CREB1	HSPA1A	binding	emsa	cell_line
tri_07963	exp_1061	CREB1	HSPA1B	binding	emsa	cell_line
tri_07964	exp_1060	CREB1	HSPA1A	binding	chip	not_applicable
tri_07964	exp_1060	CREB1	HSPA1B	binding	chip	not_applicable
tri_07964	exp_1061	CREB1	HSPA1A	binding	emsa	cell_line
tri_07964	exp_1061	CREB1	HSPA1B	binding	emsa	cell_line
tri_10509	exp_2352	CREB1	PLAT	binding	emsa	cell_line
tri_10509	exp_2351	CREB1	PLAT	binding	emsa	unknown
tri_11639	exp_2970	CREB1	PITX2	binding	chip	not_applicable
tri_11639	exp_2971	CREB1	PITX2	binding	emsa	cell_line
tri_12567	exp_2580	CREB1	ETV3	binding	emsa	primary_cell
tri_12580	exp_2067	CREB1	LAPTM4B	binding	emsa	cell_line
tri_12589	exp_3408	CREB1	NMNAT2	binding	chip	not_applicable
tri_12589	exp_3403	CREB1	NMNAT2	binding	chip	not_applicable
tri_12589	exp_3404	CREB1	NMNAT2	binding	chip	not_applicable
tri_12589	exp_3405	CREB1	NMNAT2	binding	chip	not_applicable
tri_12589	exp_3406	CREB1	NMNAT2	binding	chip	not_applicable
tri_12595	exp_3236	CREB1	NRF1	binding	chip	not_applicable
tri_12595	exp_3237	CREB1	NRF1	binding	emsa	primary_tissue
tri_12614	exp_0083	CREB1	SOX9	binding	chip	not_applicable
tri_18569	exp_3575	CREB1	ACSL4	binding	chip	not_applicable
tri_18571	exp_2833	CREB1	CLDN11	binding	chip	not_applicable
tri_18571	exp_2834	CREB1	CLDN11	binding	emsa	cell_line
tri_18573	exp_3189	CREB1	ENTPD1	binding	chip	not_applicable
tri_18574	exp_3163	CREB1	ESR1	binding	chip	not_applicable
tri_18575	exp_3540	CREB1	ETV2	binding	chip	not_applicable
tri_18576	exp_2546	CREB1	HSPA5	binding	chip	not_applicable
tri_18577	exp_3962	CREB1	LDHA	binding	emsa	cell_line
tri_18584	exp_0706	CREB1	NECTIN2	binding	chip	not_applicable
tri_18584	exp_0707	CREB1	NECTIN2	binding	emsa	cell_line
tri_22702	exp_2069	CREB1	PNPLA6	binding	chip	not_applicable
tri_22703	exp_0489	CREB1	USP22	binding	chip	not_applicable
tri_22704	exp_3458	CREB1	FOSB	binding	chip	not_applicable
tri_22705	exp_0216	CREB1	HBG2	binding	chip	not_applicable
tri_22705	exp_0220	CREB1	HBG2	binding	emsa	cell_line
tri_22706	exp_2300	CREB1	TMEM173	binding	chip	not_applicable
tri_22707	exp_4050	CREB1	CCN1	binding	emsa	unknown
tri_22708	exp_0758	CREB1	ASCL1	binding	chip	not_applicable
tri_22709	exp_2192	CREB1	RFC3	binding	chip	not_applicable
tri_22710	exp_0542	CREB1	THBS1	binding	chip	not_applicable
tri_22710	exp_0543	CREB1	THBS1	binding	emsa	primary_tissue
tri_22711	exp_1711	CREB1	TP53	binding	chip	not_applicable
tri_22712	exp_1681	CREB1	CCNC	binding	chip	not_applicable
tri_00604	exp_2251	YY1	CCL4	binding	chip	not_applicable
tri_01584	exp_1040	YY1	NKX2-5	binding	chip	not_applicable
tri_01584	exp_1041	YY1	NKX2-5	binding	emsa	unknown
tri_04730	exp_1740	YY1	CFTR	binding	chip	not_applicable
tri_05651	exp_2879	YY1	CR2	binding	chip	not_applicable
tri_10453	exp_2439	YY1	COL1A1	binding	emsa	cell_line
tri_10456	exp_3968	YY1	EGF	binding	emsa	cell_line
tri_10461	exp_2455	YY1	MSX2	binding	emsa	cell_line
tri_10464	exp_1318	YY1	NR3C1	binding	emsa	cell_line
tri_18196	exp_0391	YY1	MUC4	binding	chip	not_applicable
tri_18196	exp_0392	YY1	MUC4	binding	emsa	cell_line
tri_18213	exp_2357	YY1	TP53	binding	emsa	cell_line
tri_18213	exp_2358	YY1	TP53	binding	emsa	primary_tissue
tri_22390	exp_3361	YY1	CDH1	binding	chip	not_applicable
tri_22392	exp_3948	YY1	CPOX	binding	emsa	cell_line
tri_22395	exp_2601	YY1	PAX2	binding	emsa	primary_tissue
tri_23377	exp_1139	YY1	DMD	binding	emsa	cell_line
tri_23378	exp_0922	YY1	SLC25A4	binding	chip	not_applicable
tri_23379	exp_0508	YY1	UBIAD1	binding	chip	not_applicable
tri_23379	exp_0509	YY1	UBIAD1	binding	chip	not_applicable
tri_23379	exp_0511	YY1	UBIAD1	binding	emsa	cell_line
tri_23379	exp_0510	YY1	UBIAD1	binding	emsa	cell_line
tri_23380	exp_0563	YY1	SOX2-OT	binding	chip	not_applicable
tri_23380	exp_0564	YY1	SOX2-OT	binding	emsa	cell_line
tri_23381	exp_1891	YY1	KISS1	binding	chip	not_applicable
tri_23382	exp_3392	YY1	PLP1	binding	emsa	cell_line
tri_23383	exp_0774	YY1	PTGS2	binding	chip	not_applicable
tri_23383	exp_0775	YY1	PTGS2	binding	emsa	cell_line
tri_23384	exp_1044	YY1	SLAMF7	binding	chip	not_applicable
tri_23384	exp_1045	YY1	SLAMF7	binding	emsa	cell_line
tri_23385	exp_0115	YY1	REST	binding	emsa	cell_line
tri_23386	exp_0169	YY1	SNAI1	binding	chip	not_applicable
tri_23386	exp_0170	YY1	SNAI1	binding	chip	not_applicable
tri_23386	exp_0171	YY1	SNAI1	binding	emsa	cell_line
tri_23387	exp_0387	YY1	UBC	binding	chip	not_applicable
tri_23387	exp_0388	YY1	UBC	binding	emsa	cell_line
tri_23388	exp_1964	YY1	PTTG1	binding	chip	not_applicable
tri_23389	exp_2155	YY1	KIF14	binding	chip	not_applicable
tri_23389	exp_2156	YY1	KIF14	binding	chip	not_applicable
tri_23390	exp_1830	YY1	SLC23A2	binding	chip	not_applicable
tri_23390	exp_1831	YY1	SLC23A2	binding	emsa	cell_line
tri_23390	exp_1832	YY1	SLC23A2	binding	emsa	cell_line
tri_23391	exp_2059	YY1	NR1H4	binding	chip	not_applicable
tri_00389	exp_0124	E2F1	TNFSF11	binding	chip	not_applicable
tri_00389	exp_0125	E2F1	TNFSF11	binding	emsa	cell_line
tri_01333	exp_2773	POU5F1	LEFTY1	binding	chip	not_applicable
tri_01333	exp_2774	POU5F1	LEFTY1	binding	emsa	cell_line
tri_01740	exp_0057	POU5F1	SOX2	binding	chip	not_applicable
tri_01740	exp_0059	POU5F1	SOX2	binding	chip	not_applicable
tri_01868	exp_1346	E2F1	APAF1	binding	chip	not_applicable
tri_01871	exp_1458	E2F1	BRCA1	binding	chip	not_applicable
tri_01871	exp_2410	E2F1	BRCA1	binding	emsa	cell_line
tri_01873	exp_1597	E2F1	ECT2	binding	chip	not_applicable
tri_01874	exp_0189	E2F1	FGFR1	binding	chip	not_applicable
tri_01874	exp_0190	E2F1	FGFR1	binding	emsa	cell_line
tri_01876	exp_1439	E2F1	MAP3K5	binding	chip	not_applicable
tri_01876	exp_1440	E2F1	MAP3K5	binding	emsa	cell_line
tri_01881	exp_1595	E2F1	KIF23	binding	chip	not_applicable
tri_01883	exp_1599	E2F1	RACGAP1	binding	chip	not_applicable
tri_03084	exp_1785	STAT3	CTNNB1	binding	chip	not_applicable
tri_03861	exp_3975	STAT3	not_applicable	binding	emsa	primary_tissue
tri_04003	exp_0065	E2F1	SKP2	binding	chip	not_applicable
tri_04003	exp_0066	E2F1	SKP2	binding	emsa	unknown
tri_06068	exp_1798	E2F1	THBS1	binding	chip	not_applicable
tri_06118	exp_1812	STAT3	MICA	binding	chip	not_applicable
tri_06119	exp_1813	STAT3	MICB	binding	chip	not_applicable
tri_07947	exp_0257	STAT3	ROR1	binding	chip	not_applicable
tri_07947	exp_0258	STAT3	ROR1	binding	emsa	cell_line
tri_08066	exp_2754	E2F1	RB1	binding	chip	not_applicable
tri_08066	exp_2752	E2F1	RB1	binding	emsa	unknown
tri_08839	exp_2369	E2F1	CCND1	binding	emsa	cell_line
tri_08878	exp_0282	E2F1	HELLS	binding	chip	not_applicable
tri_08878	exp_0283	E2F1	HELLS	binding	emsa	unknown
tri_08881	exp_0268	E2F1	IRF3	binding	chip	not_applicable
tri_08881	exp_0269	E2F1	IRF3	binding	emsa	cell_line
tri_08881	exp_0270	E2F1	IRF3	binding	emsa	cell_line
tri_08890	exp_0613	E2F1	MCL1	binding	chip	not_applicable
tri_08890	exp_0614	E2F1	MCL1	binding	emsa	cell_line
tri_08890	exp_2458	E2F1	MCL1	binding	emsa	cell_line
tri_08897	exp_0623	E2F1	MXD3	binding	chip	not_applicable
tri_08897	exp_0624	E2F1	MXD3	binding	emsa	unknown
tri_08902	exp_0770	E2F1	NRP1	binding	chip	not_applicable
tri_08902	exp_0771	E2F1	NRP1	binding	emsa	primary_tissue
tri_08905	exp_1498	E2F1	PCSK6	binding	emsa	cell_line
tri_08913	exp_1512	E2F1	POLA1	binding	chip	not_applicable
tri_08919	exp_1697	E2F1	PTTG1	binding	chip	not_applicable
tri_08919	exp_1698	E2F1	PTTG1	binding	chip	not_applicable
tri_08920	exp_2756	E2F1	PURA	binding	chip	not_applicable
tri_09904	exp_0591	POU5F1	FGF4	binding	emsa	cell_line
tri_09904	exp_0589	POU5F1	FGF4	binding	emsa	cell_line
tri_09905	exp_2694	POU5F1	NANOG	binding	chip	not_applicable
tri_09905	exp_2692	POU5F1	NANOG	binding	chip	not_applicable
tri_09905	exp_2691	POU5F1	NANOG	binding	emsa	cell_line
tri_09906	exp_0043	POU5F1	POU5F1	binding	chip	not_applicable
tri_09906	exp_0049	POU5F1	POU5F1	binding	chip	not_applicable
tri_09906	exp_0045	POU5F1	POU5F1	binding	emsa	cell_line
tri_09906	exp_2660	POU5F1	POU5F1	binding	emsa	cell_line
tri_09908	exp_4110	POU5F1	UTF1	binding	emsa	cell_line
tri_12831	exp_2017	E2F1	CD2AP	binding	chip	not_applicable
tri_12849	exp_1979	E2F1	HMGA1	binding	chip	not_applicable
tri_12858	exp_2108	E2F1	NELL2	binding	chip	not_applicable
tri_12858	exp_2109	E2F1	NELL2	binding	chip	not_applicable
tri_15887	exp_3441	POU5F1	CDKN1A	binding	chip	not_applicable
tri_15903	exp_3935	POU5F1	ZFP42	binding	emsa	cell_line
tri_17351	exp_1899	STAT3	COPS5	binding	chip	not_applicable
tri_17359	exp_2047	STAT3	ESR2	binding	chip	not_applicable
tri_17387	exp_1841	STAT3	MMP1	binding	emsa	cell_line
tri_17415	exp_2135	STAT3	PTGS2	binding	chip	not_applicable
tri_17415	exp_2136	STAT3	PTGS2	binding	chip	not_applicable
tri_17418	exp_3283	STAT3	S1PR1	binding	chip	not_applicable
tri_20930	exp_1051	POU5F1	MESP1	binding	chip	not_applicable
tri_20930	exp_1053	POU5F1	MESP1	binding	emsa	unknown
tri_20931	exp_0949	POU5F1	not_applicable	binding	chip	not_applicable
tri_20932	exp_3315	POU5F1	MYOD1	binding	chip	not_applicable
tri_20933	exp_0852	POU5F1	NR0B1	binding	chip	not_applicable
tri_20933	exp_0853	POU5F1	NR0B1	binding	emsa	cell_line
tri_20936	exp_3169	POU5F1	STK40	binding	chip	not_applicable
tri_20937	exp_1031	POU5F1	TET2	binding	emsa	cell_line
tri_20937	exp_1032	POU5F1	TET2	binding	emsa	cell_line
tri_21916	exp_0297	STAT3	CAV1	binding	chip	not_applicable
tri_21916	exp_0298	STAT3	CAV1	binding	chip	not_applicable
tri_21916	exp_0300	STAT3	CAV1	binding	emsa	cell_line
tri_21916	exp_0299	STAT3	CAV1	binding	emsa	cell_line
tri_21919	exp_3700	STAT3	EGR1	binding	chip	not_applicable
tri_21927	exp_0854	STAT3	NR0B1	binding	chip	not_applicable
tri_21927	exp_0855	STAT3	NR0B1	binding	emsa	cell_line
tri_22782	exp_2024	E2F1	STMN1	binding	chip	not_applicable
tri_22782	exp_2025	E2F1	STMN1	binding	chip	not_applicable
tri_23179	exp_0559	POU5F1	SRA1	binding	chip	not_applicable
tri_23180	exp_0555	POU5F1	BACE1-AS	binding	chip	not_applicable
tri_23182	exp_3917	POU5F1	DNMT1	binding	chip	not_applicable
tri_23183	exp_3740	POU5F1	E2F3	binding	chip	not_applicable
tri_23184	exp_2535	POU5F1	FBXO15	binding	emsa	cell_line
tri_23185	exp_0546	POU5F1	NEAT1	binding	chip	not_applicable
tri_23187	exp_0549	POU5F1	MALAT1	binding	chip	not_applicable
tri_23188	exp_0863	POU5F1	MIR302A	binding	chip	not_applicable
tri_23188	exp_0864	POU5F1	MIR302A	binding	emsa	cell_line
tri_23189	exp_0557	POU5F1	IGF2-AS	binding	chip	not_applicable
tri_23190	exp_2355	POU5F1	PDGFRA	binding	emsa	cell_line
tri_23191	exp_0561	POU5F1	TUG1	binding	chip	not_applicable
tri_23192	exp_4067	POU5F1	SALL4	binding	chip	not_applicable
tri_23193	exp_2166	POU5F1	CCND1	binding	chip	not_applicable
tri_23194	exp_0552	POU5F1	UCA1	binding	chip	not_applicable
tri_23196	exp_0784	POU5F1	ZSCAN10	binding	chip	not_applicable
tri_23296	exp_2048	STAT3	CDH4	binding	chip	not_applicable
tri_23297	exp_2171	STAT3	ADM	binding	emsa	unknown
tri_23298	exp_2342	STAT3	STK35	binding	chip	not_applicable
tri_23299	exp_0456	STAT3	TPX2	binding	chip	not_applicable
tri_23299	exp_0457	STAT3	TPX2	binding	emsa	cell_line
tri_23300	exp_0360	STAT3	FOXM1	binding	chip	not_applicable
tri_23300	exp_0361	STAT3	FOXM1	binding	emsa	cell_line
tri_23301	exp_2334	STAT3	KDM6B	binding	chip	not_applicable
tri_23302	exp_2160	STAT3	TMEFF2	binding	chip	not_applicable
tri_23302	exp_2161	STAT3	TMEFF2	binding	chip	not_applicable
tri_23303	exp_2042	STAT3	WWTR1	binding	chip	not_applicable
tri_23304	exp_2044	STAT3	ANXA1	binding	chip	not_applicable
tri_23305	exp_2043	STAT3	IGFBP2	binding	chip	not_applicable
tri_23306	exp_2347	STAT3	RHOH	binding	chip	not_applicable
tri_23307	exp_0330	STAT3	PLK1	binding	emsa	cell_line
tri_23308	exp_0327	STAT3	POLR2H	binding	chip	not_applicable
tri_23308	exp_0329	STAT3	POLR2H	binding	emsa	cell_line
tri_23308	exp_0328	STAT3	POLR2H	binding	emsa	cell_line
tri_23310	exp_2036	STAT3	S100A9	binding	chip	not_applicable
tri_23311	exp_1976	STAT3	SKP2	binding	chip	not_applicable
tri_23312	exp_2045	STAT3	TCF7L2	binding	chip	not_applicable
tri_23313	exp_2046	STAT3	HMGA2	binding	chip	not_applicable
