DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	PubMed_IDs	Databases
tri_01595	SP1	RIOX2	24324617	ENdb, InnateDB, TRRUST
tri_01602	SP1	UCP3	24391766	ENdb, TRRUST
tri_02844	SP1	ADRB3	11316759	HTRIdb_LC, TRRUST
tri_02845	SP1	AGTR1	15507319, 11779634, 22282354, 11072083	HTRIdb_LC, TRRUST
tri_02846	SP1	ALOX5	2251250, 10436859, 19781662, 9062372, 23720274	HTRIdb_LC, TRRUST
tri_02847	SP1	BIRC5	17124180, 22334592	HTRIdb_LC, TRRUST
tri_02848	SP1	APOA1	10829013	HTRIdb_LC, TRRUST
tri_02849	SP1	APP	8015372, 15673661, 14715929	HTRIdb_LC, TRRUST
tri_02850	SP1	KLK3	15708372	HTRIdb_LC, TRRUST
tri_02851	SP1	FASLG	11970950, 12655294, 14563113, 15004200, 11745351	HTRIdb_LC, TRRUST
tri_02852	SP1	ASPH	17681019	HTRIdb_LC
tri_02853	SP1	ATP2A2	17597815, 14613864	HTRIdb_LC, TRRUST
tri_02854	SP1	CCND1	9637785, 19755513, 10908361, 11024050, 22334592, 22415074, 10611246, 19850937	HTRIdb_LC, TRRUST
tri_02855	SP1	BCL2	10542244, 16982684	HTRIdb_LC, InnateDB, TRRUST
tri_02856	SP1	CEACAM1	21050451	HTRIdb_LC
tri_02857	SP1	BLMH	21190945	HTRIdb_LC, TRRUST
tri_02858	SP1	BSG	20384626, 11814679, 20629990, 22678117	HTRIdb_LC, TRRUST
tri_02859	SP1	C1QBP	11278463	HTRIdb_LC, TRRUST
tri_02860	SP1	CA9	11672442, 16270297, 12615703	HTRIdb_LC, TRRUST
tri_02861	SP1	CAD	12746293	HTRIdb_LC
tri_02862	SP1	CCK	8561897	HTRIdb_LC, TRRUST
tri_02863	SP1	CD9	8760289	HTRIdb_LC
tri_02864	SP1	CD19	9233624	HTRIdb_LC
tri_02865	SP1	ADGRE5	18329191	HTRIdb_LC, TRRUST
tri_02866	SP1	CD151	20149781	HTRIdb_LC, TRRUST
tri_02867	SP1	CDKN1A	14527674, 10649433, 15033443, 7499379, 12434298, 17026958, 22001409, 24589735, 10030670, 10878024, 12665570, 15041706, 15961274, 12773551, 18210215, 10506225, 14529564, 17885207, 18270969, 21325288, 21858218, 8995437, 17090534, 18381445, 23066038, 23329847	HTRIdb_LC, InnateDB, TFactS, TRRUST
tri_02868	SP1	CDKN1B	12907235, 10072762, 10542271, 15064717, 16518840, 15951157, 22415074	HTRIdb_LC, TRRUST
tri_02869	SP1	CDKN2A	10649433, 21830402, 17370299	HTRIdb_LC, TRRUST
tri_02870	SP1	CDKN2B	10649433, 7592908	HTRIdb_LC, TRRUST
tri_02871	SP1	CES1	18305377, 11409902, 11337511	HTRIdb_LC, TRRUST
tri_02872	SP1	COL1A1	17698844, 19558215, 10082137, 10091149, 10775443, 12138160, 16564026, 7504695, 7590335, 9870870	HTRIdb_LC, InnateDB, TRRUST
tri_02873	SP1	COL5A1	7646438, 20888414	HTRIdb_LC, TRRUST
tri_02874	SP1	COL7A1	9092567, 10980546	HTRIdb_LC, TRRUST
tri_02875	SP1	CTSD	8195246	HTRIdb_LC
tri_02876	SP1	CTSL	11742542	HTRIdb_LC, TRRUST
tri_02877	SP1	CYP1B1	12801909	HTRIdb_LC, TRRUST
tri_02878	SP1	CYP3A7	11495920	HTRIdb_LC, TRRUST
tri_02879	SP1	CYP2F1	15860659	HTRIdb_LC, TRRUST
tri_02880	SP1	CYP3A5	11485307	HTRIdb_LC, TRRUST
tri_02881	SP1	CYP19A1	9865725, 15072557	HTRIdb_LC, TRRUST
tri_02882	SP1	DCK	14514691, 20544528, 15548386	HTRIdb_LC, TRRUST
tri_02883	SP1	DHFR	1834700, 10336493	HTRIdb_LC, TFe
tri_02884	SP1	DRG2	21296692	HTRIdb_LC, TRRUST
tri_02885	SP1	E2F1	10446910	HTRIdb_LC, TRRUST
tri_02886	SP1	EGFR	16087726, 10830317, 15665278, 18202149, 18575762, 19538880, 21464950, 18007664	HTRIdb_LC, ORegAnno_LC, TRRUST
tri_02887	SP1	SERPINB1	10861849	HTRIdb_LC
tri_02888	SP1	F2R	12975361, 9494121	HTRIdb_LC, TRRUST
tri_02889	SP1	F3	8576248, 10707957	HTRIdb_LC, TRRUST
tri_02890	SP1	F7	8618898, 9716591	HTRIdb_LC, ORegAnno_LC, TRRUST
tri_02891	SP1	F10	8567696	HTRIdb_LC, TRRUST
tri_02892	SP1	FMR1	16886907, 16500891, 10612627, 15175277, 9328468, 25015265	HTRIdb_LC, TRRUST
tri_02893	SP1	FN1	8803927	HTRIdb_LC
tri_02894	SP1	FOS	9528985, 7702750	HTRIdb_LC, TRRUST
tri_02895	SP1	GAST	7890769, 15613302, 2566164	HTRIdb_LC, TRRUST
tri_02896	SP1	GCNT1	17530395	HTRIdb_LC
tri_02897	SP1	GFER	18513187	HTRIdb_LC, TRRUST
tri_02898	SP1	H2AFZ	7880446	HTRIdb_LC
tri_02899	SP1	HPR	12088866	HTRIdb_LC, TRRUST
tri_02900	SP1	HSD3B1	8584035	HTRIdb_LC, TRRUST
tri_02901	SP1	HSD17B2	18270252, 16807381	HTRIdb_LC, TRRUST
tri_02902	SP1	HSPB1	9328340	HTRIdb_LC
tri_02903	SP1	IGFBP1	8544848, 2849945	HTRIdb_LC, TRRUST
tri_02904	SP1	IGFBP4	10342835	HTRIdb_LC, TRRUST
tri_02905	SP1	ITGA2	11313353, 8887648, 11238113	HTRIdb_LC, TRRUST
tri_02906	SP1	ITGA5	18775869, 21592318	HTRIdb_LC, TRRUST
tri_02907	SP1	ITGAX	8649405, 9295357, 7678251	HTRIdb_LC, InnateDB, TRRUST
tri_02908	SP1	IVL	9512462, 15191537	HTRIdb_LC, TRRUST
tri_02909	SP1	KDR	16678129, 16574784	HTRIdb_LC, TRRUST
tri_02910	SP1	KIT	9834219, 12239153, 20833840	HTRIdb_LC, TRRUST, Current
tri_02911	SP1	KRT18	7537848, 10094831	HTRIdb_LC, TRRUST
tri_02912	SP1	LCAT	9610763	HTRIdb_LC, TRRUST
tri_02913	SP1	LDLR	11792717, 16303770	HTRIdb_LC, TRRUST
tri_02914	SP1	LHCGR	8756564, 11174851	HTRIdb_LC, TRRUST
tri_02915	SP1	LRP5	20141633	HTRIdb_LC, TRRUST
tri_02916	SP1	LTC4S	10919991, 10722737	HTRIdb_LC, TRRUST
tri_02917	SP1	MAOB	11259630, 20980443	HTRIdb_LC, TRRUST
tri_02918	SP1	CD99	8460398, 17473187	HTRIdb_LC, TRRUST
tri_02919	SP1	MMP2	19061309, 10506168, 11114309, 21469139, 15317818, 19853299, 21045016, 19770485	HTRIdb_LC, ORegAnno_LC, TRRUST
tri_02920	SP1	MPO	8662930, 17521322, 12057865	HTRIdb_LC, ORegAnno_LC, TRRUST
tri_02921	SP1	MUC2	9224654, 12082130, 12077147, 11212251	HTRIdb_LC, TFe, TRRUST
tri_02922	SP1	MYB	7559553, 10567569, 2481264	HTRIdb_LC, TRRUST
tri_02923	SP1	NAB2	16260776	HTRIdb_LC
tri_02924	SP1	NDUFS8	11955626	HTRIdb_LC
tri_02925	SP1	NQO2	15451063, 11154737	HTRIdb_LC, TRRUST
tri_02926	SP1	NOS3	12759366, 10713142, 12270858, 18624763, 15722551, 12089157, 18252813, 15180995	HTRIdb_LC, TRRUST
tri_02927	SP1	OPRM1	17990281, 11675004, 19765550, 12670713, 9765304, 20385708	HTRIdb_LC, TFactS, TRRUST, Current
tri_02928	SP1	FURIN	8132667	HTRIdb_LC
tri_02929	SP1	PAEP	11369448	HTRIdb_LC
tri_02930	SP1	SERPINE1	15039136, 8342330, 1634545, 10880342, 11251188, 17890327	HTRIdb_LC, TRRUST
tri_02931	SP1	PDGFA	7499234	HTRIdb_LC
tri_02932	SP1	PGR	10894148, 20087433	HTRIdb_LC, TRRUST
tri_02933	SP1	ABCB1	10644769, 17363581, 7565762, 10860921, 8103518	HTRIdb_LC, TFactS, TRRUST
tri_02934	SP1	PLAT	18419748, 21437359, 9851700	HTRIdb_LC, TRRUST
tri_02935	SP1	PLAU	10361124	HTRIdb_LC, TRRUST
tri_02936	SP1	PLAUR	17317820, 16261846, 14660675, 11234878, 7929309	HTRIdb_LC, TRRUST
tri_02937	SP1	PNOC	12062800	HTRIdb_LC, TRRUST
tri_02938	SP1	PTGIR	19118563	HTRIdb_LC, TRRUST
tri_02939	SP1	PTHLH	8063775	HTRIdb_LC, TRRUST
tri_02940	SP1	PTK6	11997104	HTRIdb_LC, TRRUST
tri_02941	SP1	RARA	9626663	HTRIdb_LC, TRRUST
tri_02942	SP1	SCT	15118068	HTRIdb_LC, TRRUST
tri_02943	SP1	SCTR	14645499	HTRIdb_LC, TRRUST
tri_02944	SP1	SFTPB	10710519, 19096034	HTRIdb_LC, TRRUST
tri_02945	SP1	SLC2A3	17920708, 15054091	HTRIdb_LC, TRRUST
tri_02946	SP1	SLC9A2	17561809, 11254504, 11287330	HTRIdb_LC, TRRUST
tri_02947	SP1	SLC9A3	16464174	HTRIdb_LC
tri_02948	SP1	SLC19A1	15652157	HTRIdb_LC, InnateDB, TRRUST
tri_02949	SP1	SMPD1	10224156	HTRIdb_LC, TRRUST
tri_02950	SP1	SOD1	8921911, 18608091, 9867871, 11724400	HTRIdb_LC, TRRUST
tri_02951	SP1	SPN	8055899	HTRIdb_LC, TRRUST
tri_02952	SP1	VAMP2	8774732	HTRIdb_LC, TRRUST
tri_02953	SP1	ADAM17	19772640, 22705645	HTRIdb_LC, TRRUST
tri_02954	SP1	TAF7	12364593, 11340078	HTRIdb_LC, TRRUST
tri_02955	SP1	TBXA2R	18698092	HTRIdb_LC, TRRUST
tri_02956	SP1	TCN2	9774437, 9632663	HTRIdb_LC, TRRUST
tri_02957	SP1	TERT	12151407, 16234237, 1236823, 18754863, 21132266, 21553143, 10637317, 14611815, 18093727, 19843528, 19912441, 15511642, 11562751	HTRIdb_LC, TFactS, TRRUST
tri_02958	SP1	TFF1	15987735, 18543253, 15541729	HTRIdb_LC
tri_02959	SP1	TGFA	10828826	HTRIdb_LC, TRRUST
tri_02960	SP1	THBD	11036068, 22406829	HTRIdb_LC, TRRUST
tri_02961	SP1	TIMP1	11830330, 15048879, 22415074	HTRIdb_LC, TRRUST
tri_02962	SP1	NKX2-1	10684967, 15264213	HTRIdb_LC, TRRUST
tri_02963	SP1	TNXB	18588874	HTRIdb_LC
tri_02964	SP1	TPMT	20350137	HTRIdb_LC, TRRUST
tri_02965	SP1	TYMS	10875244, 9218479	HTRIdb_LC, TRRUST
tri_02966	SP1	UBC	19733223	HTRIdb_LC, TRRUST
tri_02967	SP1	UPK1B	16354592	HTRIdb_LC
tri_02968	SP1	UGT8	15229398	HTRIdb_LC
tri_02969	SP1	VEGFA	14647449, 15970595, 10581162, 12429844, 15217947, 15342781, 16540671, 16982770, 21115498, 11559575, 10816575, 11731421, 12560084, 18575762, 23369005, 8910439, 14662796, 18021292, 10910082, 11191053, 12119294, 12975317, 16835303, 9264407	HTRIdb_LC, ORegAnno_LC, TRRUST
tri_02970	SP1	EZR	19164283	HTRIdb_LC, TRRUST
tri_02971	SP1	HIST2H4A	7779811	HTRIdb_LC, TRRUST
tri_02972	SP1	IRS2	19875459, 19755487	HTRIdb_LC, TRRUST
tri_02973	SP1	ABCC3	10772892, 17272513	HTRIdb_LC, TRRUST
tri_02974	SP1	CCNA1	10196209, 23112860	HTRIdb_LC, TRRUST
tri_02975	SP1	CYP7B1	11470525	HTRIdb_LC, TRRUST
tri_02976	SP1	DLEC1	19116449	HTRIdb_LC
tri_02977	SP1	KLF8	18353772	HTRIdb_LC, TRRUST
tri_02978	SP1	PADI4	17456793	HTRIdb_LC
tri_02979	SP1	BRD7	19111069, 16792505	HTRIdb_LC, TRRUST
tri_02980	SP1	PADI1	17851584	HTRIdb_LC, TRRUST
tri_02981	SP1	NOX4	21235713	HTRIdb_LC
tri_02982	SP1	IL21R	16260592	HTRIdb_LC, InnateDB
tri_02983	SP1	NOL7	20206243	HTRIdb_LC, TRRUST
tri_02984	SP1	PADI3	16671893	HTRIdb_LC, TRRUST
tri_02985	SP1	UGT1A4	19546240	HTRIdb_LC, TRRUST
tri_02986	SP1	EAPP	18588995	HTRIdb_LC, TRRUST
tri_02987	SP1	KCTD10	19154347	HTRIdb_LC
tri_02988	SP1	KIRREL2	19703278	HTRIdb_LC
tri_02989	SP1	CENPW	20180024	HTRIdb_LC, TRRUST
tri_03783	SP1	JAK3	14976041, 16518416	InnateDB, TRRUST
tri_03830	SP1	CEBPG	17471507	InnateDB
tri_03909	SP1	EIF2AK2	12954221	InnateDB
tri_03914	SP1	SOCS1	15545275, 20644166	InnateDB, TRRUST
tri_03957	SP1	CD40	11751910	InnateDB
tri_03987	SP1	TGFBR2	11741970, 10982796, 11687969, 10766860, 12840808	InnateDB, TRRUST
tri_04107	SP1	CCL13	12682245, 10636866, 9042660	InnateDB, TRRUST
tri_04204	SP1	TAP1	8617938	InnateDB
tri_04298	SP1	IRF4	12218129	InnateDB
tri_04405	SP1	MMP9	18028425, 24755270, 19616522, 21963718, 11060311, 18357389, 7860222, 8226872	InnateDB, ORegAnno_LC, TRRUST
tri_04459	SP1	SLC2A11	18034423	InnateDB
tri_04478	SP1	TNFRSF4	17641042	InnateDB
tri_04488	SP1	SELL	19041738	InnateDB, TRRUST
tri_04670	SP1	FGL2	16709865, 11170750	InnateDB, TRRUST
tri_04968	SP1	ITGAM	9295357	InnateDB
tri_05524	SP1	ARL4A	19374776	InnateDB
tri_05525	SP1	ABHD2	19374776	InnateDB
tri_05526	SP1	IDS	19374776	InnateDB
tri_05527	SP1	NASP	19374776	InnateDB
tri_05528	SP1	GCLC	19374776, 15342415, 18245173	InnateDB, TRRUST
tri_05551	SP1	SREBF1	21531336, 20179320, 15462672, 24458133, 10918064, 23315940	InnateDB, TRRUST
tri_05604	SP1	KIR2DL4	18945643	InnateDB
tri_05623	SP1	CXCR4	9379028	InnateDB
tri_05854	SP1	MET	12569082, 11910354, 21831840, 10713700, 12473536	InnateDB, TRRUST
tri_06021	SP1	CSF3	11418664	InnateDB
tri_06070	SP1	CEBPD	20971808, 21659508, 20506344, 17273900	InnateDB, TFactS, TRRUST
tri_06115	SP1	CIITA	21216962	InnateDB
tri_06296	SP1	FCER1G	18378679	InnateDB
tri_06729	SP1	IGFBP3	22745191, 12200149, 11108271	InnateDB, TRRUST
tri_06827	SP1	BAG2	22146591	InnateDB, TRRUST
tri_06878	SP1	MDK	25428991	InnateDB
tri_06904	SP1	MMP28	20144149, 11574168	InnateDB, TRRUST
tri_07193	SP1	CLDN5	24318462	InnateDB
tri_07194	SP1	TJP1	24318462	InnateDB
tri_07262	SP1	FGF10	23558680	InnateDB
tri_07459	SP1	BSX	17944879	InnateDB, TRRUST
tri_07546	SP1	TFF3	24743382	InnateDB
tri_07849	SP1	RNLS	25295465	InnateDB, ORegAnno_LC, TRRUST
tri_07943	SP1	MFGE8	25711369	InnateDB
tri_07949	SP1	FUT7	17075044	InnateDB
tri_08035	SP1	TOP2B	26518113	InnateDB
tri_08059	SP1	MACROD1	15691879, 18206366	ORegAnno_LC, TRRUST
tri_08064	SP1	RB1	15618023, 12760745	ORegAnno_LC, TFe
tri_08067	SP1	ACHE	7829523, 9571041	ORegAnno_LC, TFe
tri_08070	SP1	SPP1	16009426, 11126367	ORegAnno_LC, TRRUST
tri_08076	SP1	ACTC1	2123467, 15933209, 9571041	ORegAnno_LC, TFe
tri_08077	SP1	ALDOA	8524331	ORegAnno_LC
tri_08103	SP1	PROC	15933209, 21745612	ORegAnno_LC, TRRUST
tri_08107	SP1	UGT1A6	15933209, 11544200	ORegAnno_LC, TFe
tri_08109	SP1	ACTA1	15933209, 9571041	ORegAnno_LC, TFe
tri_08115	SP1	UGDH	16002992, 12682078	ORegAnno_LC, TRRUST
tri_08117	SP1	SP3	16024108	ORegAnno_LC, TRRUST
tri_08136	SP1	HBG2	1688466	ORegAnno_LC
tri_08147	SP1	MDM2	15550242, 17214373, 17634539, 18026875, 23584477	ORegAnno_LC, TRRUST
tri_08174	SP1	MEOX2	7623821	ORegAnno_LC
tri_08433	SP1	SMAD4	21421563	ORegAnno_LC
tri_08439	SP1	STK11	22412893, 23995788	ORegAnno_LC, TRRUST
tri_08445	SP1	EPHX1	24315822	ORegAnno_LC
tri_08459	SP1	SEPT4	25790304	ORegAnno_LC
tri_10175	SP1	ACSS2	11435428	TFactS
tri_10176	SP1	ALDH3A1	10591537	TFactS, TRRUST
tri_10177	SP1	CDC25A	16598773	TFactS
tri_10178	SP1	CDKN2C	12077144, 22504641	TFactS, TRRUST
tri_10179	SP1	CRMP1	18524846	TFactS, TRRUST
tri_10180	SP1	DAPK2	18521079	TFactS
tri_10181	SP1	DCAF6	17984071	TFactS
tri_10182	SP1	F2	12911579	TFactS
tri_10183	SP1	GLS2	12444921	TFactS
tri_10184	SP1	ITGA11	19913614	TFactS
tri_10185	SP1	KIF2C	18440323	TFactS, TRRUST
tri_10186	SP1	LAMA1	12519763, 17141338, 15220343	TFactS, TRRUST
tri_10187	SP1	NEU1	14597183	TFactS
tri_10188	SP1	NR3C1	12039077	TFactS
tri_10189	SP1	PCK1	14744869	TFactS, TRRUST
tri_10190	SP1	PCYT1A	20096375, 10744779, 12794070, 15247247, 16484221, 10216289, 16157598	TFactS, TRRUST
tri_10191	SP1	PDX1	11278466	TFactS
tri_10192	SP1	PEMT	20150657	TFactS, TRRUST
tri_10193	SP1	POLA1	11004506	TFactS
tri_10194	SP1	RUNX2	19017640	TFactS, TRRUST
tri_10195	SP1	SMAD7	10843994	TFactS, TRRUST
tri_10196	SP1	STAR	11250933, 11111087, 15129808, 10919277	TFactS, TRRUST
tri_10197	SP1	TM7SF2	20138239	TFactS
tri_11776	SP1	NPY	12760745, 2376581	TFe, TRRUST
tri_11777	SP1	ADA	12760745, 8127716	TFe, TRRUST
tri_11778	SP1	ATF2	12760745, 2145272	TFe, TRRUST
tri_11779	SP1	BAX	11748232, 11278953	TFe, TRRUST
tri_11780	SP1	COL1A2	12760745, 9143363	TFe, TRRUST
tri_11781	SP1	CSHL1	11997340	TFe
tri_11782	SP1	not_applicable	1717345, 11997340, 18230604, 15135078, 22419072, 18513743, 15283701, 12960079, 12799440, 11802722, 14766729, 15025563, 18472212, 23341029, 21068393, 19285002, 17875929, 9516473	TFe, TRRUST
tri_11783	SP1	JUN	1406636, 8007947	TFe, TRRUST
tri_11784	SP1	LEP	12760745, 18559540	TFe, TRRUST
tri_11785	SP1	MBP	1696259, 10457364, 1690988	TFe, TRRUST
tri_11786	SP1	MIP	12760745	TFe
tri_11787	SP1	MUC5AC	14570593, 12077147	TFe, TRRUST
tri_11788	SP1	NCAM1	1679021	TFe
tri_11789	SP1	DRD1	8226883	TFe
tri_11790	SP1	NTSR1	10514493	TFe
tri_11791	SP1	LCP1	12082130	TFe
tri_11792	SP1	POU5F1	11309664, 10512200, 8152920	TFe, TRRUST
tri_11793	SP1	REN	12591615, 14761860	TFe, TRRUST
tri_11794	SP1	SPARC	11042689, 20687958	TFe, TRRUST
tri_11795	SP1	TPI1	12760745	TFe
tri_11796	SP1	VIM	17270292, 12771217	TFe, TRRUST
tri_11797	SP1	DRD2	9628590	TFe
tri_11798	SP1	NANOG	16541131	TFe, TRRUST
tri_16767	SP1	ABCA1	11264984, 17887732, 10884428, 22711909	TRRUST
tri_16768	SP1	ABCB8	21046154	TRRUST
tri_16769	SP1	ABCC1	23765166, 9865734	TRRUST
tri_16770	SP1	ABCG2	21465479	TRRUST
tri_16771	SP1	ACAN	12081893	TRRUST
tri_16772	SP1	ACO1	16886906	TRRUST
tri_16773	SP1	ACVRL1	20587022	TRRUST
tri_16774	SP1	ADAM10	21854868	TRRUST
tri_16775	SP1	ADAM23	20851106	TRRUST
tri_16776	SP1	ADH6	12004059	TRRUST
tri_16777	SP1	ADIPOQ	12378384	TRRUST
tri_16778	SP1	ADRA1A	10520459	TRRUST
tri_16779	SP1	ADRA2B	15037199	TRRUST
tri_16780	SP1	GRK2	12423667	TRRUST
tri_16781	SP1	AGT	12032593	TRRUST
tri_16782	SP1	AHR	16410262, 20478378, 9778040, 8806768	TRRUST
tri_16783	SP1	ALOX12	9164849, 14518567, 16118214	TRRUST
tri_16784	SP1	ALOX15B	15247906, 14711820	TRRUST
tri_16785	SP1	AMACR	19148275	TRRUST
tri_16786	SP1	APAF1	15972851	TRRUST
tri_16787	SP1	APEX1	18208837, 7534297	TRRUST
tri_16788	SP1	APLNR	17309882	TRRUST
tri_16789	SP1	APOC3	7640286	TRRUST
tri_16790	SP1	APOE	11229886, 18467438	TRRUST
tri_16791	SP1	AR	15661808, 18430409, 10773882, 22347450	TRRUST
tri_16792	SP1	AREG	14742435	TRRUST
tri_16793	SP1	ARF6	19642173	TRRUST
tri_16794	SP1	ASPN	21528154	TRRUST
tri_16795	SP1	ATM	11466608	TRRUST
tri_16796	SP1	ATP2A3	22851172	TRRUST
tri_16797	SP1	ATP2C1	15955096	TRRUST
tri_16798	SP1	B4GALT1	17557191	TRRUST
tri_16799	SP1	B4GALT5	15263012, 16873896	TRRUST
tri_16800	SP1	BACE1	21712774, 22275252, 15681800, 15857888, 14701757	TRRUST
tri_16801	SP1	BACE2	15857888	TRRUST
tri_16802	SP1	BDKRB1	10842322	TRRUST
tri_16803	SP1	BRCA1	19466541	TRRUST
tri_16804	SP1	BTK	10362515, 8934542	TRRUST
tri_16805	SP1	C4A	9574539	TRRUST
tri_16806	SP1	C4B	9574539	TRRUST
tri_16807	SP1	CASP3	11773055	TRRUST
tri_16808	SP1	CAT	11479230	TRRUST
tri_16809	SP1	CAV1	10684646	TRRUST
tri_16810	SP1	CBFB	9064279	TRRUST
tri_16811	SP1	CBS	11415440, 14670973, 20392694	TRRUST
tri_16812	SP1	CCNA2	18368381	TRRUST
tri_16813	SP1	CCND2	9339900, 11160217	TRRUST
tri_16814	SP1	PROM1	22945648	TRRUST
tri_16815	SP1	CD14	17203216, 11698458, 9125541	TRRUST
tri_16816	SP1	CD163	10725797	TRRUST
tri_16817	SP1	CD1D	22419072	TRRUST
tri_16818	SP1	CD28	10510368	TRRUST
tri_16819	SP1	CD2AP	21604172	TRRUST
tri_16820	SP1	CD44	12972613	TRRUST
tri_16821	SP1	CD83	12182451	TRRUST
tri_16822	SP1	CDC42BPG	15194684	TRRUST
tri_16823	SP1	CDH2	15541732	TRRUST
tri_16824	SP1	CDH3	19882246	TRRUST
tri_16825	SP1	CDK4	19017637	TRRUST
tri_16826	SP1	CDK6	11297539, 20570586	TRRUST
tri_16827	SP1	CENPH	22682030	TRRUST
tri_16828	SP1	CERS2	22169644	TRRUST
tri_16829	SP1	CETP	10669650, 12730302	TRRUST
tri_16830	SP1	CFTR	16877677	TRRUST
tri_16831	SP1	CHGA	1819225	TRRUST
tri_16832	SP1	CHI3L1	12933821	TRRUST
tri_16833	SP1	CHRNB4	10771000	TRRUST
tri_16834	SP1	CHST4	22446378	TRRUST
tri_16835	SP1	CIC	18706393	TRRUST
tri_16836	SP1	CLDN3	17986852	TRRUST
tri_16837	SP1	COL11A2	16734381	TRRUST
tri_16838	SP1	COL18A1	11093745	TRRUST
tri_16839	SP1	COMP	11223338	TRRUST
tri_16840	SP1	CREB1	17937658	TRRUST
tri_16841	SP1	CREM	21757709	TRRUST
tri_16842	SP1	CSNK2A1	19027835	TRRUST
tri_16843	SP1	CTSB	10701774	TRRUST
tri_16844	SP1	CXADR	22190856, 24478392	TRRUST
tri_16845	SP1	CYP17A1	11379008, 11463853	TRRUST
tri_16846	SP1	CYP27A1	11867220	TRRUST
tri_16847	SP1	CYP3A4	15100175	TRRUST
tri_16848	SP1	CYP7A1	9875228	TRRUST
tri_16849	SP1	DBF4	12420215	TRRUST
tri_16850	SP1	DDB1	12527763	TRRUST
tri_16851	SP1	DDB2	12527763	TRRUST
tri_16852	SP1	DHCR24	22431021	TRRUST
tri_16853	SP1	DMRT1	11870074	TRRUST
tri_16854	SP1	DNASE2	12694199	TRRUST
tri_16855	SP1	DNMT1	19211935, 20570896, 19201992, 12071960, 23457487	TRRUST
tri_16856	SP1	DNMT3A	15362956	TRRUST
tri_16857	SP1	DNMT3B	15362956	TRRUST
tri_16858	SP1	DPYSL2	15207709	TRRUST
tri_16859	SP1	EDNRB	16921166, 16623715	TRRUST
tri_16860	SP1	EGF	2833511	TRRUST
tri_16861	SP1	EGR1	8349585, 10826704	TRRUST
tri_16862	SP1	ELF4	15907486	TRRUST
tri_16863	SP1	ELMO3	20127720	TRRUST
tri_16864	SP1	ENG	21146604	TRRUST
tri_16865	SP1	EPO	14741200	TRRUST
tri_16866	SP1	EPOR	8521844, 23577103, 7659529, 21029371	TRRUST
tri_16867	SP1	ERBB2	12802284, 22553354	TRRUST
tri_16868	SP1	ERVW-1	15888734	TRRUST
tri_16869	SP1	ESR1	12237165, 21235772	TRRUST
tri_16870	SP1	FABP6	11684682	TRRUST
tri_16871	SP1	FAS	22084312, 10022897, 10871852, 9261184, 9300785	TRRUST
tri_16872	SP1	FBLN1	11829738	TRRUST
tri_16873	SP1	FBN1	23860323	TRRUST
tri_16874	SP1	FBP1	11023824	TRRUST
tri_16875	SP1	FES	8657143	TRRUST
tri_16876	SP1	FGFBP1	10871606	TRRUST
tri_16877	SP1	FGFR1	23569208	TRRUST
