DTRI_ID	EXPERIMENT_ID	PubMed_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID	Target_Entrez_ID	TF_Species	Target_Species	Experiment_Type	Context_Type	Cell_Type	Age	TFBS	Mode
tri_20743	exp_2497	12426319	PAX6	GCK	18508	103988	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	proximal	not_applicable
tri_20744	exp_0740	17010333	PAX6	HOXD4	18508	15436	mouse	mouse	binding	cell_line	CLO_0008302	not_applicable	distal	not_applicable
tri_20744	exp_0741	17010333	PAX6	HOXD4	18508	15436	mouse	mouse	binding	primary_tissue	UBERON_0002100	E8	distal	not_applicable
tri_20744	exp_0742	17010333	PAX6	HOXD4	18508	15436	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_20744	exp_0743	17010333	PAX6	HOXD4	18508	15436	mouse	mouse	perturbation	primary_tissue	UBERON_0001049	E8.5	not_applicable	activation
tri_20745	exp_3399	21998302	PAX6	MAF	18508	17132	mouse	mouse	binding	primary_tissue	UBERON_0000965	P0	proximal	not_applicable
tri_20745	exp_3401	21998302	PAX6	MAF	18508	17132	mouse	mouse	perturbation	primary_tissue	UBERON_0003073	E9.5	not_applicable	activation
tri_20745	exp_3402	21998302	PAX6	MAF	18508	17132	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	E15.5	not_applicable	activation
tri_20745	exp_3400	21998302	PAX6	MAF	18508	17132	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_20746	exp_0924	20584984	PAX6	MAFA	18508	378435	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	distal	not_applicable
tri_20746	exp_0925	20584984	PAX6	MAFA	18508	378435	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_20746	exp_0926	20584984	PAX6	MAFA	18508	378435	mouse	mouse	perturbation	primary_tissue	UBERON_0001264	P2	not_applicable	activation
tri_20747	exp_2415	10885745	PAX6	MMP9	18508	17395	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20747	exp_2416	10885745	PAX6	MMP9	18508	17395	mouse	mouse	reporter	cell_line	CLO_0009019	not_applicable	proximal	activation
tri_20749	exp_3779	26138486	PAX6	NEUROG2	18508	11924	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_20749	exp_0632	12783797	PAX6	NEUROG2	18508	11924	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20749	exp_0634	12783797	PAX6	NEUROG2	18508	11924	mouse	mouse	perturbation	primary_tissue	UBERON_0002240	E10.5	not_applicable	activation
tri_20749	exp_3780	26138486	PAX6	NEUROG2	18508	11924	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	activation
tri_20749	exp_0633	12783797	PAX6	NEUROG2	18508	11924	mouse	mouse	reporter	primary_tissue	UBERON_0001049	E1.5	proximal	activation
tri_20751	exp_3728	25352170	PAX6	ODF2	18508	18286	mouse	mouse	binding	primary_tissue	UBERON_0000956	E12.5	proximal	not_applicable
tri_20751	exp_3729	25352170	PAX6	ODF2	18508	18286	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20751	exp_3731	25352170	PAX6	ODF2	18508	18286	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E15.5	not_applicable	activation
tri_20751	exp_3730	25352170	PAX6	ODF2	18508	18286	mouse	mouse	reporter	cell_line	CLO_0008172	not_applicable	proximal	activation
tri_20752	exp_2420	11003833	PAX6	PAX2	18508	18504	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_20752	exp_2422	11003833	PAX6	PAX2	18508	18504	mouse	mouse	perturbation	primary_tissue	UBERON_0003072	E9.5	not_applicable	repression
tri_20752	exp_2421	11003833	PAX6	PAX2	18508	18504	mouse	mouse	reporter	cell_line	CLO_0002597	not_applicable	distal	repression
tri_20755	exp_3394	21996446	PAX6	RLBP1	18508	19771	mouse	mouse	binding	primary_tissue	UBERON_0000956	E14.5	proximal	not_applicable
tri_20755	exp_3396	21996446	PAX6	RLBP1	18508	19771	mouse	mouse	perturbation	primary_tissue	UBERON_0000956	E14.5	not_applicable	activation
tri_20755	exp_3395	21996446	PAX6	RLBP1	18508	19771	mouse	mouse	reporter	cell_line	CLO_0002421	not_applicable	proximal	activation
tri_20759	exp_1057	23529217	PAX6	SOST	18508	74499	mouse	mouse	binding	cell_line	EFO_0005394	not_applicable	proximal	not_applicable
tri_20759	exp_1059	23529217	PAX6	SOST	18508	74499	mouse	mouse	perturbation	cell_line	EFO_0005394	not_applicable	not_applicable	activation
tri_20759	exp_1058	23529217	PAX6	SOST	18508	74499	mouse	mouse	reporter	cell_line	EFO_0005394	not_applicable	proximal	activation
tri_23104	exp_2294	27818314	PAX6	ANGPTL7	5080	10218	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_23105	exp_2820	17157287	PAX6	CDKN1A	18508	12575	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_23105	exp_2821	17157287	PAX6	CDKN1A	18508	12575	mouse	mouse	perturbation	primary_tissue	UBERON_0001851	E12.5	not_applicable	activation
tri_23105	exp_2822	17157287	PAX6	CDKN1A	18508	12575	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E9.5	not_applicable	activation
tri_23106	exp_2817	17157287	PAX6	CDKN1C	18508	12577	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_23106	exp_2818	17157287	PAX6	CDKN1C	18508	12577	mouse	mouse	perturbation	primary_tissue	UBERON_0001851	E12.5	not_applicable	activation
tri_23106	exp_2819	17157287	PAX6	CDKN1C	18508	12577	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E9.5	not_applicable	activation
tri_23107	exp_2816	17157287	PAX6	CDKN2A	18508	12578	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_23108	exp_2823	17157287	PAX6	CDKN2D	18508	12581	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_23109	exp_3050	19132093	PAX6	SPAG5	18508	54141	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_23109	exp_3051	19132093	PAX6	SPAG5	18508	54141	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	activation
tri_23110	exp_2341	29090051	PAX6	FMNL2	5080	114793	human	human	perturbation	primary_cell	CL_0002367	unknown	not_applicable	activation
tri_23110	exp_2340	29090051	PAX6	FMNL2	5080	114793	human	human	reporter	cell_line	CLO_0051650	not_applicable	unknown	activation
tri_23111	exp_2293	27818314	PAX6	CLU	5080	1191	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_23112	exp_3044	19132093	PAX6	VCAN	18508	13003	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_23112	exp_3045	19132093	PAX6	VCAN	18508	13003	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	repression
tri_23113	exp_3789	26138486	PAX6	GSX2	18508	14843	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_23113	exp_3790	26138486	PAX6	GSX2	18508	14843	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_23114	exp_3785	26138486	PAX6	EMX2	18508	13797	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_23114	exp_3786	26138486	PAX6	EMX2	18508	13797	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_23115	exp_3777	26138486	PAX6	EPHB1	18508	270190	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_23115	exp_3778	26138486	PAX6	EPHB1	18508	270190	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_23116	exp_3488	22792072	PAX6	TFEC	5080	21426	human	mouse	perturbation	primary_cell	CL_0002586	E10.5	not_applicable	activation
tri_23116	exp_3482	22792072	PAX6	TFEC	18508	21426	mouse	mouse	binding	primary_cell	CL_0002586	E11.5	proximal	not_applicable
tri_23116	exp_3483	22792072	PAX6	TFEC	18508	21426	mouse	mouse	perturbation	primary_cell	CL_0002586	E10.5	not_applicable	activation
tri_23116	exp_2013	22792072	PAX6	TFEC	18508	21426	mouse	mouse	reporter	cell_line	CLO_0001749	not_applicable	proximal	activation
tri_23117	exp_2299	27818314	PAX6	FLG	5080	2312	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_23118	exp_2498	12426319	PAX6	INS	18508	16334	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	unknown	not_applicable
tri_23119	exp_1370	15161828	PAX6	ITGA4	5080	3676	human	human	reporter	primary_cell	CL_0000575	unknown	proximal	activation
tri_23119	exp_1369	15161828	PAX6	ITGA4	18508	16401	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_23120	exp_2297	27818314	PAX6	IVL	5080	3713	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_23121	exp_2298	27818314	PAX6	KRT1	5080	3848	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_23122	exp_2292	27818314	PAX6	KRT3	5080	3850	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_23123	exp_2296	27818314	PAX6	KRT10	5080	3858	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	repression
tri_23124	exp_3775	26138486	PAX6	ASCL1	18508	17172	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_23124	exp_3776	26138486	PAX6	ASCL1	18508	17172	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_23125	exp_3787	26138486	PAX6	FEZF2	18508	54713	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_23125	exp_3788	26138486	PAX6	FEZF2	18508	54713	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	repression
tri_23126	exp_3781	26138486	PAX6	DMRTA1	18508	242523	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_23126	exp_3782	26138486	PAX6	DMRTA1	18508	242523	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E12.5	not_applicable	activation
tri_23127	exp_1134	26485579	PAX6	SLC1A2	18508	20511	mouse	mouse	binding	primary_tissue	UBERON_0001851	P45	distal	not_applicable
tri_23127	exp_1135	26485579	PAX6	SLC1A2	18508	20511	mouse	mouse	binding	primary_tissue	UBERON_0002037	P45	distal	not_applicable
tri_23127	exp_1136	26485579	PAX6	SLC1A2	18508	20511	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	distal	not_applicable
tri_23127	exp_1138	26485579	PAX6	SLC1A2	18508	20511	mouse	mouse	perturbation	primary_cell	CL_0002605	P1	not_applicable	activation
tri_23128	exp_3971	9784592	PAX6	TCF7L2	18508	21416	mouse	mouse	perturbation	primary_tissue	UBERON_0001894	E11.5	not_applicable	activation
tri_23129	exp_2295	27818314	PAX6	TKT	5080	7086	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_23130	exp_3669	24623969	PAX6	TRPM3	18508	226025	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	unknown	repression
tri_01334	exp_2777	16954384	SOX2	LEFTY1	20674	13590	mouse	mouse	binding	cell_line	EFO_0005914	not_applicable	proximal	not_applicable
tri_01334	exp_2778	16954384	SOX2	LEFTY1	20674	13590	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_01621	exp_2695	15860457	SOX2	NANOG	6657	79923	human	human	binding	cell_line	EFO_0007086	not_applicable	proximal	not_applicable
tri_01621	exp_2693	15860457	SOX2	NANOG	20674	71950	mouse	mouse	binding	cell_line	EFO_0007075	not_applicable	proximal	not_applicable
tri_01621	exp_3632	23939864	SOX2	NANOG	20674	71950	mouse	mouse	binding	primary_cell	CL_2000042	E14.5	unknown	not_applicable
